"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Tuesday, Apr 6","boxscore","BAL","@","TBR","L-wo","3","4","","0-1","4","1.0","Soriano","Gonzalez","","3:02","N","36,973","-"
"2","2","Wednesday, Apr 7","boxscore","BAL","@","TBR","L","3","4","","0-2","5","2.0","Garza","Guthrie","Soriano","2:47","N","15,220","--"
"3","3","Thursday, Apr 8","boxscore","BAL","@","TBR","W","5","4","","1-2","4","1.0","Matusz","Ekstrom","Gonzalez","3:22","N","16,191","+"
"4","4","Friday, Apr 9","boxscore","BAL","","TOR","L","6","7","","1-3","4","2.0","Janssen","Gonzalez","Gregg","2:54","D","48,891","-"
"5","5","Saturday, Apr 10","boxscore","BAL","","TOR","L","0","3","","1-4","5","3.0","Eveland","Hernandez","Frasor","2:24","N","21,148","--"
"6","6","Sunday, Apr 11","boxscore","BAL","","TOR","L","2","5","","1-5","5","4.0","Janssen","Millwood","Gregg","2:22","D","22,499","---"
"7","7","Monday, Apr 12","boxscore","BAL","","TBR","L","1","5","","1-6","5","4.0","Garza","Guthrie","","2:51","N","9,129","----"
"8","8","Tuesday, Apr 13","boxscore","BAL","","TBR","L","6","8","10","1-7","5","5.0","Cormier","Albers","Soriano","3:32","N","13,731","-----"
"9","9","Wednesday, Apr 14","boxscore","BAL","","TBR","L","1","9","","1-8","5","5.0","Price","Bergesen","","2:40","D","10,248","------"
"10","10","Thursday, Apr 15","boxscore","BAL","@","OAK","L","2","6","","1-9","5","6.0","Sheets","Hernandez","","2:44","N","17,382","-------"
"11","11","Friday, Apr 16","boxscore","BAL","@","OAK","L","2","4","","1-10","5","6.5","Braden","Millwood","Bailey","2:09","N","12,225","--------"
"12","12","Saturday, Apr 17","boxscore","BAL","@","OAK","L-wo","3","4","","1-11","5","7.5","Blevins","Johnson","","2:48","D","15,072","---------"
"13","13","Sunday, Apr 18","boxscore","BAL","@","OAK","W","8","3","","2-11","5","7.5","Matusz","Anderson","Johnson","2:32","D","14,451","+"
"14","14","Monday, Apr 19","boxscore","BAL","@","SEA","L","2","8","","2-12","5","8.5","Fister","Bergesen","","2:24","N","14,528","-"
"15","15","Tuesday, Apr 20","boxscore","BAL","@","SEA","L","1","3","","2-13","5","9.0","Vargas","Hernandez","Aardsma","2:21","N","15,931","--"
"16","16","Wednesday, Apr 21","boxscore","BAL","@","SEA","L","1","4","","2-14","5","10.0","Hernandez","Millwood","","2:08","N","18,401","---"
"17","17","Friday, Apr 23","boxscore","BAL","@","BOS","L","3","4","","2-15","5","10.0","Delcarmen","Albers","Papelbon","3:35","N","37,367","----"
"18","18","Saturday, Apr 24","boxscore","BAL","@","BOS","L","6","7","","2-16","5","11.0","Lackey","Albers","Papelbon","3:08","N","38,017","-----"
"19","19","Sunday, Apr 25","boxscore","BAL","@","BOS","W","7","6","10","3-16","5","11.0","Johnson","Atchison","Meredith","3:44","D","37,102","+"
"20","20","Tuesday, Apr 27","boxscore","BAL","","NYY","W","5","4","","4-16","5","11.0","Castillo","Robertson","Simon","3:24","N","20,536","++"
"21","21","Wednesday, Apr 28","boxscore","BAL","","NYY","L","3","8","","4-17","5","12.0","Sabathia","Guthrie","","2:55","N","17,248","-"
"22","22","Thursday, Apr 29","boxscore","BAL","","NYY","L","0","4","","4-18","5","13.0","Burnett","Matusz","","2:51","N","26,439","--"
"23","23","Friday, Apr 30","boxscore","BAL","","BOS","W-wo","5","4","10","5-18","5","12.0","Albers","Ramirez","","3:35","N","30,668","+"
"24","24","Saturday, May 1","boxscore","BAL","","BOS","W","12","9","","6-18","5","11.0","Bergesen","Matsuzaka","Simon","2:48","N","35,164","++"
"25","25","Sunday, May 2","boxscore","BAL","","BOS","W-wo","3","2","10","7-18","5","11.0","Albers","Papelbon","","3:22","D","34,255","+++"
"26","26","Monday, May 3","boxscore","BAL","@","NYY","L","1","4","","7-19","5","11.5","Sabathia","Guthrie","Chamberlain","2:29","N","41,571","-"
"27","27","Tuesday, May 4","boxscore","BAL","@","NYY","L","1","4","","7-20","5","12.5","Burnett","Matusz","Chamberlain","3:02","N","43,260","--"
"28","28","Wednesday, May 5","boxscore","BAL","@","NYY","L","5","7","","7-21","5","13.5","Pettitte","Hernandez","Aceves","3:03","D","43,425","---"
"29","29","Thursday, May 6","boxscore","BAL","@","MIN","W","2","0","","8-21","5","13.5","Bergesen","Pavano","Simon","2:17","N","38,489","+"
