"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Corey Patterson  LF","5","0","1","0","0","1","5",".292",".339",".409",".748","14","11","-0.029","0.91","0.040","-0.069","-0.8","1","0","SB"
"Miguel Tejada  DH","4","0","1","0","0","1","4",".279",".309",".376",".685","20","13","-0.059","0.97","0.036","-0.095","-0.3","","","2B"
"Julio Lugo  PR","1","2","1","1","0","0","1",".238",".297",".266",".563","3","2","0.011","0.11","0.011","0.000","1.1","","","3B"
"Nick Markakis  RF","5","2","3","1","0","1","5",".307",".397",".436",".832","21","13","0.131","0.70","0.151","-0.020","2.3","3","0","2B"
"Ty Wigginton  1B-2B","5","0","0","1","0","2","5",".246",".331",".445",".776","15","11","-0.024","0.74","0.035","-0.059","0.1","5","0",""
"Adam Jones  CF","3","1","1","1","0","0","4",".270",".295",".441",".736","16","10","-0.005","0.54","0.025","-0.031","-0.4","6","0","SF"
"Josh Bell  3B","3","0","0","0","0","3","3",".182",".182",".182",".364","12","9","-0.050","0.66","0.000","-0.050","-0.5","1","2",""
"Jake Fox  PH-1B","1","0","0","0","0","0","1",".209",".261",".336",".597","4","2","-0.005","0.18","0.000","-0.005","-0.3","0","0",""
"Scott Moore  2B-3B","4","0","1","1","0","1","4",".250",".294",".359",".653","13","9","0.080","0.72","0.126","-0.046","0.4","0","0",""
"Craig Tatum  C","3","0","0","0","1","1","4",".229",".327",".271",".598","17","9","-0.025","0.56","0.007","-0.032","-0.5","10","0",""
"Cesar Izturis  SS","4","1","3","0","0","0","4",".245",".287",".279",".566","11","8","-0.008","0.57","0.033","-0.041","0.1","0","1","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Brian Matusz  P","","","","","","","","","","","","","","","","","","","1","0",""
"Jason Berken  P","","","","","","","","","","","","","","","","","","","0","0",""
"Will Ohman  P","","","","","","","","","","","","","","","","","","","0","0",""
"Alfredo Simon  P","","","","","","","","","","","","","","","","","","","0","0",""
