"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Luis Montanez  LF","4","0","2","0","0","0","4",".250",".250",".250",".500","13","9","-0.004","1.11","0.060","-0.063","0.0","4","0",""
"Ty Wigginton  3B","4","0","0","0","0","1","4",".268",".326",".683","1.009","8","8","-0.178","1.19","0.000","-0.178","-1.9","0","4","2·GDP"
"Nick Markakis  RF","4","1","3","0","0","0","4",".259",".371",".379",".751","19","12","0.050","0.59","0.072","-0.022","0.5","2","0",""
"Matt Wieters  C","4","0","1","1","0","0","4",".298",".355",".368",".723","13","8","0.068","0.99","0.120","-0.053","0.6","4","0",""
"Luke Scott  DH","4","0","0","0","0","0","4",".170",".250",".362",".612","10","7","-0.092","0.94","0.000","-0.092","-1.0","","",""
"Adam Jones  CF","4","0","0","0","0","1","4",".203",".225",".333",".559","12","8","-0.072","0.68","0.000","-0.072","-0.8","4","0",""
"Garrett Atkins  1B","4","0","2","0","0","1","4",".241",".268",".315",".583","16","11","0.011","0.62","0.046","-0.036","0.1","8","1",""
"Justin Turner  2B","3","0","0","0","0","2","3",".000",".000",".000",".000","10","8","-0.058","0.84","0.000","-0.058","-0.6","1","2",""
"Nolan Reimold  PH","1","0","0","0","0","1","1",".167",".255",".310",".565","4","4","-0.011","0.36","0.000","-0.011","-0.2","","",""
"Cesar Izturis  SS","3","0","1","0","0","0","3",".233",".267",".279",".546","8","7","0.012","0.77","0.041","-0.028","0.1","0","2",""
"","","","","","","","","","","","","","","","","","","","","",""
"Kevin Millwood  P","","","","","","","","","","","","","","","","","","","1","0",""
