"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Corey Patterson  LF","4","1","2","0","1","0","5",".286",".375",".469",".844","23","15","0.086","1.36","0.160","-0.074","0.9","4","0","SB"
"Nick Markakis  RF","4","0","1","0","1","2","5",".304",".406",".427",".833","26","12","-0.043","1.49","0.104","-0.147","0.2","0","0",""
"Miguel Tejada  3B","5","0","0","0","0","0","5",".265",".305",".386",".691","15","9","-0.193","1.34","0.000","-0.193","-1.6","0","1","GDP"
"Ty Wigginton  2B","3","0","0","0","1","1","4",".294",".359",".601",".960","15","7","-0.051","1.12","0.021","-0.072","-0.4","1","2",""
"Luke Scott  1B","4","1","1","0","0","2","4",".273",".338",".538",".876","17","13","-0.058","1.23","0.049","-0.106","-0.6","8","2",""
"Adam Jones  CF","4","1","1","0","0","0","4",".254",".281",".400",".681","16","9","0.088","1.11","0.148","-0.060","0.4","0","0","2B"
"Matt Wieters  C","3","0","0","1","1","0","4",".257",".319",".362",".681","17","11","-0.144","1.59","0.013","-0.157","-0.3","10","1",""
"Julio Lugo  SS","4","0","1","1","0","0","4",".213",".250",".213",".463","13","10","0.305","1.79","0.360","-0.054","0.5","3","2","SB"
"Kevin Millwood  P","2","0","0","0","0","1","2",".000",".000",".000",".000","4","4","-0.036","0.71","0.000","-0.036","-0.3","1","0",""
"Will Ohman  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Scott Moore  PH","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","","",""
"Luis Montanez  PH","1","0","0","0","0","0","1",".163",".182",".163",".345","4","3","-0.036","1.43","0.000","-0.036","-0.2","","",""
"Matt Albers  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Garrett Atkins  PH","1","0","0","0","0","0","1",".219",".258",".281",".539","4","3","-0.119","4.39","0.000","-0.119","-0.4","","",""
"Alfredo Simon  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Cla Meredith  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
