"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Marco Scutaro  SS","5","0","2","1","0","1","5",".282",".353",".385",".738","23","13","0.130","1.07","0.197","-0.067","0.6","1","3",""
"Dustin Pedroia  2B","5","1","1","0","0","2","5",".280",".357",".460",".818","25","16","-0.091","1.09","0.030","-0.122","-0.8","2","3",""
"Victor Martinez  C-1B","5","1","3","0","0","0","5",".297",".349",".496",".845","17","11","0.044","0.94","0.099","-0.055","0.6","8","2",""
"David Ortiz  1B","4","0","0","0","0","2","4",".254",".358",".541",".899","16","11","-0.136","1.31","0.000","-0.136","-1.5","10","0",""
"Daniel Bard  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Mike Cameron  PH","1","0","0","0","0","0","1",".265",".337",".325",".662","4","2","-0.021","0.73","0.000","-0.021","-0.3","","",""
"Jonathan Papelbon  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Adrian Beltre  3B","3","1","0","0","0","0","4",".336",".375",".528",".902","14","10","-0.091","1.08","0.028","-0.119","-1.0","0","4","HBP,GDP"
"Daniel Nava  LF","3","1","2","3","1","0","4",".382",".447",".676","1.124","14","8","0.261","1.02","0.272","-0.012","3.4","2","0","2·2B"
"Josh Reddick  RF","4","0","0","0","0","2","4",".174",".208",".304",".513","14","9","-0.150","1.38","0.000","-0.150","-1.4","1","1",""
"Darnell McDonald  CF","4","1","2","2","0","1","4",".276",".333",".401",".735","11","9","0.205","1.08","0.262","-0.057","1.5","0","0","HR"
"John Lackey  P","3","1","2","0","0","1","3",".500",".500",".750","1.250","11","9","0.029","0.86","0.061","-0.032","0.2","0","0","2B"
"Jason Varitek  C","1","0","0","0","0","1","1",".272",".344",".593",".937","5","3","-0.028","0.96","0.000","-0.028","-0.3","1","0",""
