"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Marco Scutaro  SS","5","2","2","1","1","0","6",".279",".345",".372",".717","17","11","0.066","1.51","0.198","-0.132","1.3","4","4","2B"
"Darnell McDonald  LF","4","0","2","1","0","1","5",".267",".326",".408",".734","17","10","0.030","1.35","0.092","-0.061","0.5","0","0","2B,SH"
"David Ortiz  DH","4","0","1","0","1","2","5",".253",".372",".527",".899","21","11","-0.050","1.39","0.046","-0.095","-0.2","","","IW"
"Kevin Youkilis  1B","5","0","1","1","0","3","5",".297",".405",".571",".976","26","18","-0.147","1.83","0.051","-0.198","-1.0","9","0","2B"
"Adrian Beltre  3B","5","0","2","0","0","1","5",".334",".373",".549",".922","18","11","-0.157","1.61","0.027","-0.183","-0.9","2","3",""
"J.D. Drew  RF","4","0","0","0","0","2","5",".270",".352",".468",".820","24","13","-0.078","1.05","0.026","-0.104","-0.7","1","0","HBP"
"Mike Cameron  CF","3","1","1","0","2","0","5",".284",".349",".440",".789","23","11","0.121","1.33","0.159","-0.038","0.7","4","0","2B"
"Eric Patterson  PR-CF","0","0","0","0","0","0","0",".207",".260",".436",".696","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Bill Hall  2B","4","1","1","0","1","0","5",".230",".321",".410",".730","15","8","-0.234","2.01","0.137","-0.371","-0.9","0","1","CS,GDP"
"Kevin Cash  C","2","0","1","0","0","1","3",".178",".260",".256",".516","12","8","0.056","1.02","0.082","-0.026","0.3","5","0","HBP"
"Ryan Shealy  PH","1","0","0","0","0","0","1",".000",".000",".000",".000","5","2","-0.047","1.85","0.000","-0.047","-0.2","","",""
"Dusty Brown  C","1","0","1","0","0","0","1",".250",".250",".250",".500","4","3","0.031","1.31","0.031","0.000","0.1","4","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Tim Wakefield  P","","","","","","","","","","","","","","","","","","","0","0",""
"Manny Delcarmen  P","","","","","","","","","","","","","","","","","","","0","0",""
"Hideki Okajima  P","","","","","","","","","","","","","","","","","","","0","0",""
"Daniel Bard  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ramon Ramirez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Dustin Richardson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Michael Bowden  P","","","","","","","","","","","","","","","","","","","0","0",""
