"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Marco Scutaro  SS","4","0","0","0","0","1","4",".261",".351",".333",".684","18","12","-0.082","0.78","0.000","-0.082","-0.9","0","1",""
"Dustin Pedroia  2B","4","0","0","0","0","2","4",".275",".350",".497",".847","18","10","-0.072","0.68","0.000","-0.072","-0.9","1","1",""
"Victor Martinez  C","4","1","2","1","0","0","4",".255",".305",".431",".736","14","11","0.080","0.47","0.111","-0.032","0.9","4","0","HR"
"Kevin Youkilis  1B","3","0","0","0","1","1","4",".318",".455",".581","1.036","19","9","-0.022","0.51","0.019","-0.041","-0.1","7","0",""
"J.D. Drew  RF","3","0","0","0","1","1","4",".265",".351",".456",".807","22","14","-0.035","0.65","0.013","-0.048","-0.6","3","0",""
"Adrian Beltre  3B","3","0","1","0","0","1","4",".316",".355",".452",".807","21","14","-0.007","0.51","0.031","-0.038","-0.0","1","2","2B,HBP"
"Bill Hall  LF","3","0","0","0","0","1","3",".188",".282",".333",".615","13","8","-0.057","0.72","0.000","-0.057","-0.7","5","0",""
"David Ortiz  PH","1","0","0","0","0","0","1",".245",".311",".518",".830","4","3","-0.037","1.37","0.000","-0.037","-0.8","","",""
"Darnell McDonald  CF","3","0","1","0","0","1","3",".266",".324",".404",".728","15","8","-0.001","0.76","0.034","-0.035","-0.0","3","0",""
"John Lackey  P","1","0","0","0","0","0","2",".000",".000",".000",".000","4","3","-0.031","0.98","0.000","-0.031","-0.3","0","1","SH"
"Joe Nelson  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Mike Lowell  PH","1","0","0","0","0","1","1",".238",".324",".365",".689","4","3","-0.007","0.28","0.000","-0.007","-0.2","","",""
"Manny Delcarmen  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
