"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Juan Pierre  LF","4","0","0","0","0","0","4",".277",".346",".320",".666","14","10","-0.069","0.68","0.000","-0.069","-0.8","1","0",""
"Omar Vizquel  2B","4","1","2","1","0","1","4",".286",".353",".348",".701","15","9","0.123","0.54","0.147","-0.025","0.9","1","6","HR"
"Alex Rios  CF","4","0","1","0","0","2","4",".290",".341",".471",".812","20","13","-0.034","0.54","0.009","-0.043","-0.2","1","0",""
"Paul Konerko  1B","4","0","1","0","0","0","4",".317",".396",".579",".975","8","5","-0.044","0.60","0.013","-0.057","-1.0","12","0","GDP"
"Manny Ramirez  DH","2","0","0","0","1","0","3",".315",".412",".495",".908","9","5","-0.012","0.70","0.020","-0.032","-0.2","","",""
"Mark Teahen  3B","3","0","0","0","0","1","3",".259",".332",".391",".723","15","8","-0.064","0.82","0.000","-0.064","-0.7","1","0",""
"Andruw Jones  RF","3","0","0","0","0","3","3",".226",".331",".477",".809","22","13","-0.053","0.69","0.000","-0.053","-0.6","1","0",""
"A.J. Pierzynski  C","3","0","0","0","0","0","3",".265",".297",".381",".677","8","5","-0.046","0.61","0.000","-0.046","-0.6","5","0",""
"Alexei Ramirez  SS","3","0","0","0","0","1","3",".282",".311",".431",".742","12","8","-0.028","0.36","0.000","-0.028","-0.4","2","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"John Danks  P","","","","","","","","","","","","","","","","","","","0","1",""
"Tony Pena  P","","","","","","","","","","","","","","","","","","","0","2",""
