"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Omar Vizquel  SS","4","0","1","1","0","0","5",".115",".226",".154",".380","15","12","-0.063","0.95","0.021","-0.083","-0.6","0","4","SF"
"Gordon Beckham  2B","5","0","0","0","0","3","5",".221",".299",".302",".601","30","20","-0.074","0.54","0.000","-0.074","-1.2","3","2",""
"Andruw Jones  CF","4","2","2","2","1","0","5",".276",".408",".724","1.133","29","17","0.130","0.78","0.192","-0.062","1.8","5","0","2·HR,SB"
"Paul Konerko  1B","4","1","1","0","1","0","5",".295",".412",".769","1.182","19","12","0.042","0.67","0.090","-0.048","-0.4","9","0","2B"
"Mark Teahen  3B","4","0","1","0","1","1","5",".250",".360",".406",".766","26","13","-0.078","0.81","0.020","-0.098","-0.2","1","4",""
"Carlos Quentin  DH","2","2","0","0","2","0","4",".182",".326",".403",".729","14","4","0.055","1.08","0.076","-0.020","0.3","","","IW"
"A.J. Pierzynski  C","4","1","3","2","0","0","4",".203",".257",".246",".503","17","10","0.449","1.37","0.460","-0.011","2.7","6","0","2B"
"Mark Kotsay  RF","3","1","1","2","1","0","4",".125",".222",".275",".497","19","10","0.096","1.11","0.152","-0.056","1.4","2","0","HR"
"Juan Pierre  LF","3","0","0","0","1","0","4",".187",".260",".187",".447","13","6","-0.098","0.86","0.014","-0.113","-1.4","1","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"John Danks  P","","","","","","","","","","","","","","","","","","","0","1",""
"Scott Linebrink  P","","","","","","","","","","","","","","","","","","","0","0",""
"Randy Williams  P","","","","","","","","","","","","","","","","","","","0","0",""
"J.J. Putz  P","","","","","","","","","","","","","","","","","","","0","0",""
"Bobby Jenks  P","","","","","","","","","","","","","","","","","","","0","1",""
