"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Juan Pierre  LF","3","1","0","1","1","0","5",".245",".315",".269",".584","24","13","0.005","1.23","0.103","-0.098","0.1","0","0","SH"
"Omar Vizquel  3B","5","0","0","0","0","1","5",".241",".301",".325",".626","17","13","-0.133","0.92","0.000","-0.133","-1.4","0","1",""
"Alex Rios  CF","4","0","1","1","0","1","5",".315",".378",".568",".946","19","11","-0.015","0.71","0.056","-0.071","-0.3","3","0","CS,HBP"
"Paul Konerko  1B","4","0","0","0","0","1","5",".285",".390",".585",".975","21","11","-0.041","0.52","0.014","-0.055","-0.5","11","0","HBP"
"Mark Kotsay  RF","3","1","1","0","1","1","4",".205",".305",".364",".668","20","11","0.059","0.66","0.079","-0.020","0.5","2","0",""
"Matt Thornton  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"J.J. Putz  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Bobby Jenks  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Alexei Ramirez  SS","4","2","2","1","0","0","4",".261",".297",".399",".696","10","8","0.091","1.52","0.178","-0.087","0.8","2","7","2B"
"Ramon Castro  C","1","1","1","0","3","0","4",".296",".406",".556",".962","16","3","0.237","1.32","0.237","0.000","2.1","7","0","2B"
"Gordon Beckham  2B","4","1","2","3","0","0","4",".210",".288",".263",".552","8","7","0.252","1.83","0.279","-0.027","1.9","2","3","2B"
"Freddy Garcia  P","2","0","0","0","0","0","3",".000",".000",".000",".000","6","5","-0.126","1.52","0.000","-0.126","-1.3","0","2","SH"
"Sergio Santos  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Andruw Jones  RF","1","0","0","0","0","1","1",".209",".326",".466",".792","4","3","-0.023","0.84","0.000","-0.023","-0.2","0","0",""
