"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Mark Grudzielanek  2B","5","1","2","0","0","0","5",".245",".273",".245",".518","15","10","0.055","1.11","0.113","-0.058","0.2","2","5",""
"Grady Sizemore  CF","3","1","0","0","1","3","4",".214",".281",".311",".591","19","11","-0.088","1.16","0.027","-0.116","-0.5","1","0",""
"Shin-Soo Choo  RF","2","2","1","0","2","1","4",".311",".432",".476",".908","21","10","0.181","1.44","0.191","-0.010","1.4","3","0",""
"Travis Hafner  DH","4","0","3","1","0","1","4",".238",".347",".393",".739","17","11","0.315","2.08","0.338","-0.023","2.5","","","2B"
"Austin Kearns  LF","3","0","1","3","0","2","4",".343",".405",".557",".962","18","15","0.049","2.58","0.219","-0.170","0.4","2","0","SF"
"Jhonny Peralta  3B","4","0","0","0","0","2","4",".207",".312",".359",".671","14","13","-0.221","2.06","0.000","-0.221","-1.6","0","0",""
"Luis Valbuena  SS","3","0","0","0","1","1","4",".167",".313",".303",".616","18","11","-0.183","1.82","0.053","-0.236","-1.3","1","2","CS"
"Matt LaPorta  1B","4","0","0","0","0","1","4",".203",".263",".230",".492","12","7","-0.118","1.20","0.000","-0.118","-0.7","7","0",""
"Lou Marson  C","3","0","0","0","0","3","3",".200",".262",".267",".528","18","11","-0.049","0.66","0.000","-0.049","-0.3","11","0",""
"Russell Branyan  PH","1","0","0","0","0","1","1",".206",".270",".294",".564","7","5","-0.027","1.11","0.000","-0.027","-0.1","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Justin Masterson  P","","","","","","","","","","","","","","","","","","","0","1",""
"Kerry Wood  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tony Sipp  P","","","","","","","","","","","","","","","","","","","0","0",""
"Hector Ambriz  P","","","","","","","","","","","","","","","","","","","0","0",""
