"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Brantley  CF","4","1","1","1","1","0","5",".212",".286",".305",".590","24","12","0.069","1.41","0.143","-0.074","0.4","2","0","2B,CS"
"Luis Valbuena  LF","0","0","0","0","0","0","0",".163",".254",".234",".487","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Asdrubal Cabrera  SS","4","0","2","2","0","0","5",".290",".345",".378",".722","16","12","0.042","1.89","0.083","-0.042","0.9","2","2","2B,SF"
"Shin-Soo Choo  RF","5","0","1","1","0","1","5",".290",".387",".464",".851","14","9","0.056","1.56","0.250","-0.194","-1.2","1","0","GDP"
"Travis Hafner  DH","4","0","1","1","0","2","4",".270",".373",".441",".815","21","12","0.069","0.90","0.113","-0.044","0.5","","",""
"Jayson Nix  3B","4","0","2","0","0","0","4",".249",".313",".437",".750","11","7","-0.014","0.93","0.040","-0.054","0.1","3","1",""
"Chris Gimenez  C","0","0","0","0","0","0","0",".179",".233",".286",".519","","","0.000","0.00","0.000","0.000","0.0","2","0",""
"Trevor Crowe  LF-CF","4","1","1","0","0","1","4",".253",".309",".350",".659","16","10","-0.055","1.06","0.033","-0.089","-0.8","3","1",""
"Matt LaPorta  1B","4","1","2","1","0","1","4",".243",".317",".370",".687","25","18","0.032","0.71","0.071","-0.039","0.9","8","0",""
"Jason Donald  2B","4","2","1","0","0","0","4",".256",".314",".391",".705","14","10","0.029","0.88","0.087","-0.059","-0.0","2","2","SB"
"Lou Marson  C","2","0","1","0","0","1","2",".192",".262",".271",".533","6","4","0.021","0.84","0.039","-0.018","0.3","3","1",""
"Shelley Duncan  PH","1","1","1","1","0","0","1",".243",".327",".434",".762","3","2","0.203","3.53","0.203","0.000","1.3","","",""
"Andy Marte  3B","0","1","0","0","1","0","1",".223",".302",".375",".677","7","3","0.004","0.41","0.004","0.000","0.2","0","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Mitch Talbot  P","","","","","","","","","","","","","","","","","","","1","1",""
"Tony Sipp  P","","","","","","","","","","","","","","","","","","","0","0",""
"Justin Germano  P","","","","","","","","","","","","","","","","","","","0","1",""
"Rafael Perez  P","","","","","","","","","","","","","","","","","","","0","1",""
"Chris Perez  P","","","","","","","","","","","","","","","","","","","0","0",""
