"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Asdrubal Cabrera  SS","4","0","1","0","0","0","4",".280",".299",".373",".672","9","7","-0.025","0.48","0.013","-0.039","-0.6","3","4",""
"Grady Sizemore  CF","4","0","2","0","0","0","4",".220",".303",".356",".659","13","8","-0.012","0.76","0.053","-0.064","-0.4","2","0","CS"
"Shin-Soo Choo  RF","4","0","2","0","0","0","4",".313",".436",".547",".983","15","10","-0.023","0.82","0.036","-0.059","-0.1","0","0",""
"Austin Kearns  LF","4","0","0","0","0","1","4",".324",".361",".441",".802","20","11","-0.056","0.52","0.000","-0.056","-1.0","2","0",""
"Jhonny Peralta  3B","3","0","1","0","1","0","4",".154",".308",".269",".577","14","6","0.001","0.39","0.025","-0.024","0.5","2","0","2B"
"Russell Branyan  1B","3","0","1","0","0","1","3",".333",".385",".500",".885","10","8","0.067","0.60","0.083","-0.016","0.6","6","2","2B"
"Andy Marte  1B","1","0","0","0","0","1","1",".188",".350",".375",".725","4","3","0.000","0.00","0.000","0.000","-0.4","0","1",""
"Matt LaPorta  DH","4","0","0","0","0","2","4",".192",".263",".231",".494","17","12","-0.086","0.55","0.000","-0.086","-1.5","","",""
"Luis Valbuena  2B","3","0","0","0","1","1","4",".178",".302",".356",".657","21","11","-0.007","0.73","0.019","-0.025","-0.5","1","5",""
"Lou Marson  C","3","0","0","0","0","0","3",".088",".162",".088",".250","10","6","-0.092","1.21","0.000","-0.092","-1.0","5","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Justin Masterson  P","","","","","","","","","","","","","","","","","","","1","0",""
"Aaron Laffey  P","","","","","","","","","","","","","","","","","","","1","0",""
"Joe Smith  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jensen Lewis  P","","","","","","","","","","","","","","","","","","","1","0",""
