"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Trevor Crowe  CF","5","1","1","1","0","0","5",".246",".312",".341",".653","19","13","0.023","1.27","0.131","-0.107","0.0","2","0","SB"
"Shin-Soo Choo  RF","5","0","1","1","0","0","5",".286",".384",".443",".827","18","12","-0.022","0.98","0.078","-0.100","-0.1","3","0",""
"Carlos Santana  C","2","0","2","1","2","0","4",".333",".467",".625","1.092","19","9","0.129","0.77","0.129","0.000","1.3","9","1","2B"
"Austin Kearns  LF","4","0","0","0","0","0","4",".285",".371",".465",".836","14","10","-0.161","1.30","0.000","-0.161","-1.3","1","0","GDP"
"Jhonny Peralta  3B","3","1","1","0","0","0","4",".259",".327",".409",".736","10","7","0.111","1.14","0.148","-0.037","0.7","0","0","2B,HBP"
"Shelley Duncan  1B","4","0","0","0","0","2","4",".279",".340",".535",".875","13","11","-0.161","1.37","0.000","-0.161","-1.2","7","0",""
"Andy Marte  1B","0","0","0","0","0","0","0",".242",".366",".424",".790","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Anderson Hernandez  SS","4","1","2","0","0","1","4",".300",".333",".350",".683","9","7","0.049","1.31","0.108","-0.059","0.4","2","3",""
"Jason Donald  2B","4","1","2","1","0","1","4",".253",".283",".400",".683","13","9","0.129","1.51","0.175","-0.046","0.6","2","5","2B"
"Roberto Hernandez  P","3","0","0","0","0","2","3",".000",".000",".000",".000","12","9","-0.116","1.56","0.000","-0.116","-1.0","0","1",""
"Rafael Perez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Frank Herrmann  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Chris Perez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Travis Hafner  PH","0","0","0","0","0","0","1",".254",".370",".431",".801","1","0","0.023","0.82","0.023","0.000","0.4","","","HBP"
"Kerry Wood  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
