"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jeff Keppinger  2B","4","0","1","1","0","0","4",".355",".429",".484",".912","15","10","-0.018","0.76","0.047","-0.064","0.1","1","4",""
"Jason Michaels  CF-LF","4","0","0","0","0","0","4",".182",".182",".455",".636","14","8","-0.032","0.44","0.007","-0.039","-0.5","4","0",""
"Pedro Feliz  1B","4","0","0","0","0","0","4",".244",".256",".317",".573","10","8","-0.039","0.38","0.000","-0.039","-0.7","8","1",""
"Carlos Lee  LF","4","1","1","0","0","0","4",".116",".136",".116",".253","17","10","0.015","0.45","0.038","-0.022","-0.1","0","0",""
"Cory Sullivan  CF","0","0","0","0","0","0","0",".091",".091",".273",".364","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Hunter Pence  RF","4","0","1","0","0","0","4",".122",".122",".195",".317","10","8","0.065","0.66","0.093","-0.028","0.5","3","0",""
"Chris Johnson  3B","4","1","0","1","0","1","4",".227",".227",".318",".545","11","8","-0.060","0.77","0.000","-0.060","-0.8","1","2",""
"Tommy Manzella  SS","4","0","0","0","0","1","4",".214",".241",".214",".456","19","12","-0.048","0.58","0.000","-0.048","-0.7","0","0",""
"J.R. Towles  C","4","2","3","2","0","1","4",".182",".182",".364",".545","21","13","0.176","0.60","0.185","-0.009","2.1","9","0","HR"
"Roy Oswalt  P","1","0","0","0","1","0","3",".000",".250",".000",".250","11","5","-0.004","0.53","0.015","-0.019","-0.2","0","1","SH"
"Brandon Lyon  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Chris Sampson  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Matt Lindstrom  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
