"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Bourn  CF","5","2","2","1","0","3","5",".276",".353",".329",".682","21","14","-0.007","0.48","0.043","-0.050","0.6","0","0",""
"Jeff Keppinger  2B","5","0","2","1","0","0","5",".295",".337",".397",".735","22","14","0.084","0.53","0.107","-0.023","1.4","3","1","2B"
"Hunter Pence  RF","4","2","2","2","1","1","5",".273",".301",".449",".749","19","11","0.164","0.52","0.169","-0.005","1.3","3","0","HR"
"Carlos Lee  LF","5","0","2","1","0","0","5",".205",".241",".330",".570","10","9","-0.010","0.43","0.004","-0.014","0.8","2","0","2B"
"Lance Berkman  1B","2","0","1","0","3","1","5",".239",".364",".419",".783","26","10","0.058","0.48","0.058","0.000","0.7","5","0","IW"
"Pedro Feliz  3B","5","0","0","0","0","0","5",".200",".229",".284",".513","18","11","-0.198","0.99","0.000","-0.198","-2.7","0","1","GDP"
"Tommy Manzella  SS","5","1","1","0","0","2","5",".207",".271",".256",".527","18","13","-0.066","0.49","0.000","-0.066","-0.9","3","2",""
"Humberto Quintero  C","3","1","2","0","1","1","4",".250",".281",".326",".607","17","11","0.033","0.48","0.037","-0.004","1.1","8","2","2B"
"Wandy Rodriguez  P","1","0","0","0","0","0","2",".278",".263",".278",".541","2","2","-0.066","1.47","0.000","-0.066","-0.6","0","0","SH"
"Gustavo Chacin  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Cory Sullivan  PH","1","0","0","0","0","1","1",".186",".255",".233",".488","4","3","-0.002","0.08","0.000","-0.002","-0.1","","",""
"Jeff Fulchino  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Tim Byrdak  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Wilton Lopez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","2",""
"Geoff Blum  PH","1","0","0","1","0","0","1",".266",".301",".316",".618","7","5","0.000","0.01","0.000","0.000","-0.1","","",""
"Kevin Cash  P","0","0","0","0","0","0","0",".125",".160",".167",".327","","","0.000","0.00","0.000","0.000","0.0","0","0",""
