"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Bourn  CF","3","1","2","0","1","1","4",".247",".324",".320",".645","17","9","0.073","1.49","0.148","-0.075","1.1","3","0","SB"
"Angel Sanchez  2B","3","0","0","0","0","0","4",".275",".305",".344",".649","13","8","-0.172","1.67","0.000","-0.172","-1.5","1","3","SH,GDP"
"Hunter Pence  RF","3","1","1","2","0","1","4",".284",".328",".472",".800","18","11","0.214","1.32","0.296","-0.081","0.3","2","0","HR,SF"
"Carlos Lee  LF","4","0","0","0","0","1","4",".245",".291",".403",".694","18","9","-0.081","0.78","0.000","-0.081","-0.8","0","0",""
"Jason Bourgeois  LF","0","0","0","0","0","0","0",".233",".324",".317",".640","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Chris Johnson  3B","4","0","1","0","0","2","4",".337",".362",".512",".875","13","9","-0.010","0.69","0.038","-0.048","-0.1","1","0",""
"Brett Wallace  1B","4","0","1","0","0","3","4",".203",".288",".237",".525","18","14","-0.009","1.10","0.059","-0.068","-0.4","6","1",""
"Tommy Manzella  SS","2","0","0","0","1","1","4",".214",".263",".255",".518","19","10","-0.010","1.15","0.038","-0.048","-0.1","3","2","SH"
"Humberto Quintero  C","1","0","0","0","1","0","2",".219",".256",".303",".559","10","4","-0.010","1.50","0.037","-0.047","-0.1","7","1",""
"Jason Castro  PH-C","0","0","0","0","2","0","2",".190",".277",".278",".554","12","4","0.035","1.25","0.035","0.000","0.4","2","0","IW"
"Nelson Figueroa  P","1","0","0","0","0","0","2",".286",".286",".429",".714","4","2","-0.061","1.61","0.000","-0.061","-0.6","1","0","SH"
"Jason Michaels  PH","1","0","0","0","0","0","1",".250",".291",".485",".776","2","2","-0.074","3.25","0.000","-0.074","-0.5","","",""
"Wilton Lopez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Anderson Hernandez  PH","1","0","0","0","0","0","1",".237",".275",".289",".564","7","4","-0.018","0.64","0.000","-0.018","-0.2","","",""
"Brandon Lyon  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
