"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Bourn  CF","4","2","2","2","1","0","5",".269",".344",".348",".692","23","13","0.094","0.86","0.133","-0.039","1.6","3","0","2·SB"
"Jeff Keppinger  2B","5","0","1","0","0","1","5",".274",".332",".359",".691","20","13","-0.070","1.01","0.034","-0.104","-0.7","0","3","SB"
"Lance Berkman  1B","5","0","3","2","0","2","5",".248",".355",".405",".761","21","14","0.074","0.95","0.131","-0.057","1.7","10","0","2B"
"Carlos Lee  LF","4","0","1","0","1","0","5",".238",".287",".393",".680","18","12","-0.025","1.12","0.061","-0.086","-0.6","3","0",""
"Jason Michaels  PR","0","0","0","0","0","0","0",".229",".256",".434",".690","","","0.000","0.00","0.000","0.000","0.0","","",""
"Hunter Pence  RF","5","0","0","0","0","0","5",".265",".311",".435",".746","16","12","-0.191","1.57","0.000","-0.191","-1.5","1","0",""
"Pedro Feliz  3B","4","1","2","1","0","1","4",".229",".255",".317",".572","16","8","0.065","0.76","0.108","-0.044","0.8","0","2","HR"
"Jason Castro  C","3","1","1","0","1","1","4",".261",".370",".435",".805","22","14","-0.017","0.80","0.041","-0.058","0.2","6","1","2B"
"Oswaldo Navarro  SS","2","1","0","0","1","1","3",".071",".188",".071",".259","13","7","-0.017","0.81","0.027","-0.044","-0.0","1","1",""
"Geoff Blum  PH-SS","1","0","0","0","0","0","1",".235",".294",".295",".589","5","3","-0.017","0.59","0.000","-0.017","-0.2","0","1",""
"Brett Myers  P","2","0","0","0","0","1","3",".097",".125",".097",".222","9","8","-0.049","0.94","0.000","-0.049","-0.4","0","1","SH"
"Gustavo Chacin  P","0","0","0","0","0","0","0","1.000","1.000","4.000","5.000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Chris Sampson  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jason Bourgeois  PH","1","0","0","0","0","1","1",".313",".421",".375",".796","4","3","-0.019","0.73","0.000","-0.019","-0.2","","",""
