"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jason Bourgeois  CF","5","0","0","0","0","1","5",".222",".308",".296",".604","17","12","-0.096","0.66","0.000","-0.096","-1.5","4","0",""
"Jeff Keppinger  2B","4","1","2","0","1","1","5",".290",".355",".392",".747","18","9","0.020","0.59","0.072","-0.052","0.9","1","1",""
"Hunter Pence  RF","4","0","1","0","1","0","5",".281",".326",".466",".792","17","9","-0.051","0.44","0.002","-0.053","0.2","1","0",""
"Carlos Lee  1B","5","1","2","0","0","0","5",".250",".291",".425",".716","16","12","-0.030","0.46","0.013","-0.044","-0.4","5","2","GDP"
"Geoff Blum  SS","4","1","1","3","0","1","4",".259",".316",".352",".668","15","9","0.087","0.55","0.120","-0.033","1.6","0","1","HR"
"Tommy Manzella  SS","0","0","0","0","0","0","0",".220",".261",".256",".517","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Chris Johnson  3B","4","1","1","0","0","3","4",".321",".349",".507",".856","13","10","0.072","0.47","0.087","-0.015","-0.3","0","1","2B"
"Brian Bogusevic  LF","4","2","2","0","0","0","4",".286",".286",".429",".714","14","12","0.167","0.73","0.170","-0.003","0.9","4","0","2B"
"Humberto Quintero  C","4","1","2","2","0","1","4",".233",".263",".318",".581","15","10","0.289","0.87","0.291","-0.002","2.0","10","0","HR"
"Bud Norris  P","2","1","0","1","0","0","3",".171",".190",".220",".410","5","4","0.027","0.94","0.048","-0.020","0.4","1","0","SH"
"Tim Byrdak  P","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Anderson Hernandez  PH","1","0","0","0","0","0","1",".220",".264",".260",".524","3","2","0.000","0.02","0.000","0.000","-0.1","","",""
"Jeff Fulchino  P","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Fernando Abad  P","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
