"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Scott Podsednik  LF","4","1","0","0","1","0","5",".279",".332",".339",".671","16","8","-0.032","0.57","0.012","-0.044","-0.8","2","0",""
"Jason Kendall  C","3","1","1","0","1","0","4",".276",".335",".332",".667","19","11","0.015","0.70","0.039","-0.024","0.3","5","0",""
"Willie Bloomquist  RF","1","0","0","0","0","0","1",".194",".250",".355",".605","1","1","-0.002","0.07","0.000","-0.002","-0.2","1","0",""
"David DeJesus  CF","2","0","1","3","1","1","3",".305",".380",".455",".835","19","11","0.269","1.25","0.276","-0.008","2.4","0","0","2B"
"Mitch Maier  PH-CF","2","0","1","0","0","0","2",".261",".337",".366",".703","12","8","0.009","0.14","0.010","-0.001","0.2","1","0",""
"Billy Butler  1B","5","0","3","0","0","0","5",".325",".381",".458",".839","13","8","-0.021","0.51","0.032","-0.053","0.7","7","0","2B"
"Jose Guillen  RF","3","1","1","0","1","0","4",".264",".337",".494",".831","13","8","0.030","0.73","0.063","-0.033","-0.4","1","0",""
"Dusty Hughes  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Chris Getz  PH","1","0","0","0","0","0","1",".202",".280",".214",".494","3","3","-0.001","0.02","0.000","-0.001","-0.2","","",""
"Alberto Callaspo  3B","4","0","0","0","0","1","4",".270",".299",".440",".739","11","9","-0.084","0.87","0.000","-0.084","-1.8","0","1",""
"Wilson Betemit  3B","0","0","0","0","0","0","0",".500",".625","1.667","2.292","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Mike Aviles  2B","4","1","1","0","0","0","4",".302",".328",".403",".731","20","13","0.026","0.60","0.063","-0.037","0.1","2","4","2B"
"Yuniesky Betancourt  SS","4","0","0","1","0","2","4",".282",".311",".427",".738","13","11","-0.042","0.58","0.000","-0.042","-0.6","3","1",""
"Brian Bannister  P","2","1","1","1","0","1","2",".500",".500","1.000","1.500","7","6","0.054","0.97","0.076","-0.022","0.7","0","1","2B"
"Kanekoa Texeira  P","1","0","0","0","0","1","1",".000",".000",".000",".000","5","3","-0.002","0.08","0.000","-0.002","-0.1","0","0",""
"Brayan Pena  C","1","0","1","0","0","0","1",".158",".261",".211",".471","2","1","0.002","0.02","0.002","0.000","0.2","2","0","2B"
