"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"David DeJesus  RF-LF","5","1","2","1","0","0","5",".264",".336",".471",".807","22","14","-0.094","1.72","0.194","-0.288","0.1","0","0","HR,GDP"
"Scott Podsednik  LF-CF","4","0","1","0","1","1","5",".325",".381",".412",".793","22","14","0.052","1.16","0.118","-0.066","0.5","3","0",""
"Billy Butler  DH","3","1","2","0","1","0","4",".341",".373",".472",".845","15","8","-0.024","1.45","0.139","-0.163","0.0","","","GDP"
"Kila Ka'aihue  1B","3","0","0","0","0","1","3",".250",".250",".250",".500","11","8","-0.151","1.63","0.000","-0.151","-1.3","8","1",""
"Jose Guillen  PH-RF","1","0","0","0","0","0","1",".273",".315",".537",".853","3","2","-0.071","2.54","0.000","-0.071","-0.4","1","0",""
"Alberto Callaspo  3B","4","0","2","0","0","0","4",".303",".344",".492",".835","8","6","-0.009","1.65","0.107","-0.116","0.2","1","1","2B"
"Jason Kendall  C","4","0","1","0","0","0","4",".290",".367",".355",".722","13","8","-0.046","1.70","0.090","-0.136","-0.5","3","1","SB"
"Mitch Maier  CF-1B","3","0","1","1","1","0","4",".236",".348",".364",".712","22","13","0.082","1.48","0.137","-0.055","0.6","2","2",""
"Yuniesky Betancourt  SS","4","0","0","0","0","0","4",".283",".309",".368",".677","15","11","-0.240","1.82","0.000","-0.240","-1.7","2","3",""
"Chris Getz  2B","3","0","0","0","0","2","3",".192",".250",".192",".442","21","12","-0.118","1.45","0.000","-0.118","-0.9","2","2",""
"Mike Aviles  PH","1","0","1","0","0","0","1",".350",".350",".500",".850","4","2","0.115","2.92","0.115","0.000","0.4","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Gil Meche  P","","","","","","","","","","","","","","","","","","","2","1",""
