"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Bobby Abreu  DH","3","0","1","0","1","1","4",".266",".361",".440",".800","18","10","0.011","0.74","0.052","-0.041","-0.0","","",""
"Erick Aybar  SS","4","0","1","0","0","1","4",".271",".327",".363",".690","12","10","-0.089","1.00","0.024","-0.113","-0.6","2","3","CS"
"Alberto Callaspo  3B","3","0","2","0","1","1","4",".280",".313",".397",".710","14","8","0.115","1.08","0.142","-0.027","0.8","2","0",""
"Torii Hunter  RF","4","0","1","0","0","1","4",".290",".368",".493",".860","13","8","-0.020","1.63","0.088","-0.108","-0.3","0","0",""
"Howie Kendrick  1B","4","0","1","0","0","0","4",".270",".304",".407",".711","15","8","-0.166","1.78","0.049","-0.215","-1.2","6","0","GDP"
"Juan Rivera  LF","4","0","0","0","0","0","4",".257",".309",".419",".729","12","9","-0.059","1.28","0.044","-0.103","-0.6","7","0",""
"Maicer Izturis  2B","3","0","0","0","1","1","4",".249",".312",".368",".680","13","8","-0.129","1.43","0.014","-0.143","-1.1","3","3",""
"Mike Napoli  C","3","1","1","1","1","1","4",".254",".323",".481",".804","18","12","0.141","0.91","0.178","-0.037","1.0","5","0","HR"
"Peter Bourjos  CF","4","0","0","0","0","1","4",".135",".220",".189",".409","17","11","-0.156","1.13","0.000","-0.156","-1.3","2","0","GDP"
"","","","","","","","","","","","","","","","","","","","","",""
"Dan Haren  P","","","","","","","","","","","","","","","","","","","0","1",""
"Francisco Rodriguez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Michael Kohn  P","","","","","","","","","","","","","","","","","","","0","0",""
