"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Erick Aybar  SS","5","1","1","0","0","1","5",".250",".318",".330",".648","11","9","-0.077","0.58","0.000","-0.077","-0.0","0","3","2B"
"Bobby Abreu  DH","4","1","0","0","1","0","5",".274",".330",".472",".802","20","12","-0.037","0.29","0.000","-0.037","-0.5","","",""
"Torii Hunter  CF","2","0","0","0","2","0","4",".304",".377",".511",".888","20","11","-0.016","0.41","0.031","-0.047","-0.4","2","0","CS"
"Reggie Willits  CF","1","1","1","1","0","0","1",".167",".318",".222",".540","2","2","0.000","0.00","0.000","0.000","1.0","1","0",""
"Kendrys Morales  1B","4","1","3","1","0","0","5",".323",".364",".525",".890","19","11","0.071","0.36","0.071","0.000","0.8","6","0","SF"
"Hideki Matsui  LF","4","1","1","0","0","1","4",".260",".330",".440",".770","13","9","-0.047","0.84","0.023","-0.070","-0.7","0","0",""
"Ryan Budde  C","1","0","1","2","0","0","1",".333",".333",".667","1.000","2","1","0.000","0.00","0.000","0.000","1.7","1","0","2B"
"Juan Rivera  RF","3","2","1","0","2","0","5",".250",".313",".409",".722","23","11","0.108","0.62","0.108","0.000","1.4","2","0",""
"Maicer Izturis  3B","3","0","2","2","0","0","3",".270",".364",".351",".715","9","6","0.126","1.59","0.199","-0.073","2.0","1","6","2B,CS"
"Brandon Wood  PH-3B","2","0","0","0","0","1","2",".184",".205",".237",".442","7","6","0.000","0.00","0.000","0.000","-0.6","0","0",""
"Howie Kendrick  2B","3","1","1","2","0","0","4",".283",".323",".370",".693","17","10","-0.127","1.40","0.000","-0.127","-0.7","6","1","SF"
"Mike Napoli  C","3","0","1","0","0","1","3",".192",".300",".269",".569","15","9","-0.045","0.81","0.013","-0.058","-0.5","5","0",""
"Robb Quinlan  LF","1","0","0","0","0","0","1",".000",".000",".000",".000","1","1","0.000","0.00","0.000","0.000","-0.4","0","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Joe Saunders  P","","","","","","","","","","","","","","","","","","","0","2",""
"Matt Palmer  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brian Stokes  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jason Bulger  P","","","","","","","","","","","","","","","","","","","0","0",""
