"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Erick Aybar  SS","4","0","1","0","0","0","4",".282",".340",".364",".704","8","7","-0.059","1.02","0.026","-0.085","-0.5","0","0",""
"Howie Kendrick  2B","3","0","1","0","1","1","4",".278",".314",".406",".720","18","10","-0.024","0.96","0.061","-0.085","-0.2","1","3","GDP"
"Bobby Abreu  RF","4","0","0","0","0","1","4",".252",".345",".394",".739","20","13","-0.123","1.25","0.000","-0.123","-1.1","1","0",""
"Torii Hunter  CF","4","1","3","0","0","0","4",".302",".385",".525",".910","13","9","0.038","1.18","0.123","-0.085","0.2","2","0","CS"
"Hideki Matsui  DH","3","0","0","0","1","0","4",".254",".334",".406",".741","16","6","-0.063","1.50","0.072","-0.135","-0.5","","","GDP"
"Mike Napoli  1B","3","0","2","1","1","1","4",".260",".337",".492",".829","16","12","0.105","1.25","0.149","-0.044","1.1","7","0",""
"Juan Rivera  LF","4","0","1","0","0","1","4",".239",".302",".420",".722","18","12","-0.156","1.32","0.023","-0.179","-1.3","4","0","CS"
"Kevin Frandsen  3B","3","0","0","0","0","0","3",".315",".362",".407",".769","10","8","-0.113","1.41","0.000","-0.113","-0.9","0","3",""
"Paul McAnulty  PH","1","0","0","0","0","1","1",".143",".250",".571",".821","5","3","-0.013","0.45","0.000","-0.013","-0.3","","",""
"Jeff Mathis  C","3","0","1","0","0","1","3",".256",".286",".372",".658","8","7","-0.002","1.04","0.047","-0.049","-0.1","9","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jered Weaver  P","","","","","","","","","","","","","","","","","","","0","1",""
"Kevin Jepsen  P","","","","","","","","","","","","","","","","","","","0","0",""
"Francisco Rodriguez  P","","","","","","","","","","","","","","","","","","","0","0",""
