"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Erick Aybar  SS","3","1","2","0","2","1","5",".244",".321",".315",".635","24","12","0.009","0.77","0.057","-0.048","0.4","2","1","2B,2·SB"
"Howie Kendrick  2B","5","0","0","1","0","1","5",".256",".288",".370",".658","20","14","-0.066","0.85","0.009","-0.075","-1.1","2","2","SB"
"Bobby Abreu  RF","5","0","1","0","0","2","5",".277",".358",".441",".799","25","16","-0.018","0.62","0.036","-0.054","-0.7","1","0",""
"Torii Hunter  CF","4","2","2","2","1","2","5",".283",".349",".508",".857","22","13","0.198","0.73","0.230","-0.032","1.9","3","0","HR,2B"
"Hideki Matsui  DH","3","0","3","0","2","0","5",".253",".332",".414",".746","21","9","0.077","0.65","0.077","0.000","1.4","","",""
"Mike Napoli  C","4","0","0","1","0","1","5",".254",".331",".507",".838","22","15","-0.119","1.16","0.013","-0.132","-1.7","9","2","SF"
"Mike Ryan  1B","3","1","1","0","0","1","3",".192",".214",".308",".522","8","6","0.030","0.75","0.064","-0.033","0.2","5","1","2B"
"Robb Quinlan  1B","2","0","0","0","0","1","2",".000",".000",".000",".000","8","7","-0.009","0.17","0.000","-0.009","-0.5","3","0",""
"Kevin Frandsen  3B","4","1","2","1","0","0","4",".448",".484",".552","1.036","10","7","0.068","0.60","0.087","-0.020","0.6","0","3",""
"Reggie Willits  LF","4","0","1","0","0","2","4",".256",".373",".302",".675","15","9","-0.025","0.70","0.040","-0.065","0.0","1","0","2B,CS"
"","","","","","","","","","","","","","","","","","","","","",""
"Jered Weaver  P","","","","","","","","","","","","","","","","","","","1","1",""
"Kevin Jepsen  P","","","","","","","","","","","","","","","","","","","0","0",""
"Fernando Rodney  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brian Fuentes  P","","","","","","","","","","","","","","","","","","","0","0",""
