"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Erick Aybar  SS","5","2","3","0","0","0","5",".274",".341",".359",".700","14","10","0.122","0.98","0.144","-0.022","1.0","1","2",""
"Maicer Izturis  3B","5","1","2","0","0","0","5",".253",".347",".402",".749","16","10","-0.187","1.20","0.012","-0.200","-1.3","0","4","2B,GDP"
"Bobby Abreu  RF","4","1","1","2","1","0","5",".258",".344",".417",".761","23","13","0.087","1.16","0.156","-0.069","1.0","2","0",""
"Mike Ryan  LF","0","0","0","0","0","0","0",".222",".237",".333",".570","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Torii Hunter  CF","3","1","2","3","1","1","5",".288",".355",".500",".855","20","13","0.151","0.95","0.151","0.000","3.2","2","0","2B,HBP"
"Hideki Matsui  LF","4","0","1","3","0","0","4",".260",".333",".434",".767","20","11","0.251","1.78","0.311","-0.060","1.6","0","0","2B"
"Reggie Willits  LF-RF","1","1","1","0","0","0","1",".267",".377",".311",".688","3","2","0.000","0.00","0.000","0.000","0.2","0","0",""
"Mike Napoli  C","5","0","0","0","0","4","5",".254",".318",".480",".798","15","13","-0.077","0.57","0.000","-0.077","-1.4","6","1",""
"Howie Kendrick  2B","5","1","3","2","0","0","5",".262",".293",".385",".678","14","9","-0.008","0.49","0.033","-0.041","1.5","1","5","HR"
"Robb Quinlan  1B","5","0","0","0","0","0","5",".148",".179",".222",".401","25","15","-0.069","0.52","0.000","-0.069","-0.9","15","0",""
"Joel Pineiro  P","2","3","0","0","2","2","4",".000",".400",".000",".400","19","10","0.094","0.59","0.094","0.000","0.6","0","2",""
