"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alberto Callaspo  3B","4","0","2","0","0","0","4",".287",".321",".406",".726","15","9","-0.035","0.96","0.068","-0.103","-0.5","2","1","CS"
"Howie Kendrick  2B","3","0","2","0","1","0","4",".278",".311",".409",".720","18","10","0.033","0.91","0.077","-0.044","0.4","3","2","SB"
"Bobby Abreu  LF","3","0","0","0","1","2","4",".251",".346",".422",".768","20","12","-0.071","1.06","0.013","-0.084","-0.7","2","0",""
"Torii Hunter  RF","2","1","1","1","2","0","4",".292",".369",".482",".851","20","7","0.065","1.17","0.096","-0.031","1.2","2","0","HR"
"Hideki Matsui  DH","3","0","0","0","1","0","4",".260",".347",".440",".787","15","6","-0.112","1.67","0.036","-0.148","-1.1","","",""
"Erick Aybar  SS","4","0","0","0","0","1","4",".262",".316",".347",".663","11","9","-0.103","1.04","0.000","-0.103","-0.9","1","3",""
"Juan Rivera  1B","3","0","0","0","1","0","4",".247",".299",".397",".696","15","8","-0.044","0.98","0.028","-0.072","-0.3","6","2",""
"Jeff Mathis  C","3","0","0","0","0","0","3",".189",".210",".284",".494","13","7","-0.080","1.05","0.000","-0.080","-0.6","6","1",""
"Reggie Willits  PH","1","0","0","0","0","1","1",".280",".343",".328",".671","5","4","-0.023","0.94","0.000","-0.023","-0.2","","",""
"Peter Bourjos  CF","3","0","0","0","0","2","3",".193",".245",".330",".574","16","10","-0.076","1.00","0.000","-0.076","-0.7","2","1",""
"Mike Napoli  PH","1","0","0","0","0","0","1",".245",".319",".472",".792","2","2","-0.011","0.43","0.000","-0.011","-0.1","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jered Weaver  P","","","","","","","","","","","","","","","","","","","0","0",""
"Scot Shields  P","","","","","","","","","","","","","","","","","","","0","0",""
