"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Denard Span  CF","4","0","1","0","1","0","5",".111",".200",".111",".311","16","9","0.053","0.46","0.064","-0.011","0.5","1","0",""
"Orlando Hudson  2B","5","1","0","0","0","1","5",".125",".222",".250",".472","17","11","-0.088","0.73","0.000","-0.088","-1.3","4","5",""
"Joe Mauer  C","4","1","1","2","0","0","4",".250",".250",".625",".875","12","8","0.140","0.62","0.176","-0.035","1.1","6","0","HR"
"Justin Morneau  1B","3","2","2","1","1","1","4",".500",".625","1.000","1.625","17","10","0.092","0.40","0.097","-0.005","1.4","7","1","HR"
"Michael Cuddyer  RF","4","0","3","0","0","0","4",".571",".625",".714","1.339","9","7","0.022","0.53","0.078","-0.057","0.3","2","0","2B,GDP"
"Jason Kubel  DH","2","0","0","0","2","1","4",".000",".375",".000",".375","17","9","0.014","0.71","0.039","-0.025","0.1","","",""
"Delmon Young  LF","3","0","1","1","0","1","4",".429",".375",".857","1.232","17","11","0.012","0.85","0.033","-0.021","-0.1","1","0","SF"
"J.J. Hardy  SS","4","1","1","1","0","1","4",".250",".250",".625",".875","13","10","-0.047","0.79","0.062","-0.108","-0.7","1","2","HR,2·GDP"
"Nick Punto  3B","3","0","0","0","1","1","4",".000",".167",".000",".167","22","12","-0.020","0.36","0.009","-0.028","-0.6","3","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"Nick Blackburn  P","","","","","","","","","","","","","","","","","","","2","1",""
"Brian Duensing  P","","","","","","","","","","","","","","","","","","","0","0",""
"Matt Guerrier  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jon Rauch  P","","","","","","","","","","","","","","","","","","","0","0",""
