"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Derek Jeter  SS","3","1","1","2","2","1","5",".274",".338",".388",".725","23","10","0.193","1.59","0.266","-0.074","1.8","1","1",""
"Ramiro Pena  PH-SS","1","0","1","1","0","0","1",".209",".247",".220",".467","7","4","0.001","0.02","0.001","0.000","1.0","0","0",""
"Curtis Granderson  CF","4","1","2","2","1","1","6",".254",".322",".441",".763","34","22","0.073","0.94","0.118","-0.045","2.2","1","0","2B,SH"
"Mark Teixeira  1B","2","0","0","0","3","0","5",".260",".375",".479",".855","25","10","0.020","0.99","0.053","-0.033","0.5","7","0",""
"Juan Miranda  PH-1B","1","0","1","1","0","0","1",".230",".299",".443",".741","2","2","0.000","0.01","0.000","0.000","1.0","1","1",""
"Alex Rodriguez  3B","4","0","1","3","1","1","6",".275",".346",".488",".834","26","16","0.005","1.27","0.050","-0.044","0.8","1","1","SF"
"Chan Ho Park  P-P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Robinson Cano  2B","5","1","1","1","1","0","6",".328",".385",".567",".953","19","9","0.069","1.13","0.204","-0.135","-0.1","3","5","HR"
"Nick Swisher  DH-RF","5","2","1","0","1","1","6",".299",".374",".532",".905","25","14","-0.086","1.05","0.052","-0.138","-0.2","2","0","2B"
"Brett Gardner  LF","1","2","1","0","3","0","4",".300",".397",".403",".800","23","10","0.252","1.56","0.252","0.000","2.1","1","0","SB"
"Marcus Thames  PH-LF-3B","2","0","0","0","0","1","2",".287",".391",".426",".817","8","6","0.000","0.01","0.000","0.000","-0.5","0","0",""
"Francisco Cervelli  C","5","1","1","1","0","1","5",".260",".335",".325",".660","23","15","-0.170","1.72","0.080","-0.250","-1.6","8","0","GDP"
"Colin Curtis  RF-LF","4","3","2","0","0","1","5",".275",".341",".425",".766","18","11","-0.099","1.29","0.050","-0.149","-0.2","1","0","HBP"
"","","","","","","","","","","","","","","","","","","","","",""
"Dustin Moseley  P","","","","","","","","","","","","","","","","","","","0","1",""
"David Robertson  P","","","","","","","","","","","","","","","","","","","0","0",""
