"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Derek Jeter  DH","4","2","0","0","1","1","5",".270",".311",".411",".723","17","10","-0.015","0.64","0.040","-0.055","-1.0","","","SB"
"Brett Gardner  CF-LF-CF","5","2","3","1","0","2","5",".337",".420",".404",".824","27","21","0.033","0.68","0.077","-0.043","1.2","0","0","SB"
"Mark Teixeira  1B","5","1","2","3","0","0","5",".203",".329",".391",".720","13","8","0.076","0.65","0.115","-0.039","3.0","8","0",""
"Alex Rodriguez  3B","5","0","2","2","0","1","5",".281",".371",".455",".825","17","12","0.037","0.64","0.092","-0.055","1.3","0","2","2B"
"Kevin Russo  PR-3B","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Robinson Cano  2B","3","0","0","0","1","0","5",".341",".401",".619","1.020","13","6","-0.058","0.57","0.011","-0.069","-0.3","3","3","HBP,IW"
"Nick Swisher  RF","3","0","0","0","0","1","3",".297",".381",".551",".931","13","8","-0.049","0.65","0.000","-0.049","-0.6","2","0",""
"Randy Winn  LF","1","1","0","0","1","0","2",".219",".324",".313",".637","9","5","-0.011","0.23","0.000","-0.011","-0.2","0","0",""
"Marcus Thames  LF","3","0","0","0","0","2","3",".350",".426",".500",".926","14","11","-0.035","0.46","0.000","-0.035","-0.4","1","0",""
"Greg Golson  CF-RF","2","0","1","0","0","0","2",".500",".500",".500","1.000","9","6","0.011","0.20","0.011","0.000","-0.4","1","0",""
"Francisco Cervelli  C","4","1","2","1","0","1","4",".408",".482",".490",".972","16","11","0.024","0.50","0.052","-0.028","0.9","11","1","2B"
"Ramiro Pena  SS","3","1","0","0","1","1","4",".138",".188",".172",".360","20","14","-0.052","0.63","0.008","-0.060","-0.1","1","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Phil Hughes  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joba Chamberlain  P","","","","","","","","","","","","","","","","","","","0","0",""
"Mariano Rivera  P","","","","","","","","","","","","","","","","","","","0","0",""
