"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Conor Jackson  LF","3","1","2","0","1","0","4",".245",".333",".335",".669","14","6","0.084","0.97","0.113","-0.029","1.1","0","1",""
"Daric Barton  1B","4","0","2","1","0","0","4",".288",".396",".425",".821","20","13","0.060","1.20","0.120","-0.060","0.8","5","0",""
"Ryan Sweeney  CF","3","0","1","1","0","1","4",".302",".348",".396",".743","18","11","-0.052","1.28","0.025","-0.077","-0.8","2","0","SF"
"Kevin Kouzmanoff  3B","3","0","0","0","1","2","4",".290",".327",".408",".735","22","13","-0.062","1.21","0.032","-0.094","-0.6","1","0",""
"Kurt Suzuki  C","4","0","1","0","0","0","4",".273",".330",".467",".796","13","9","-0.123","1.09","0.014","-0.138","-1.3","10","1","GDP"
"Jack Cust  RF","4","0","1","0","0","2","4",".299",".386",".391",".777","19","12","-0.006","0.71","0.047","-0.052","-0.5","5","1","GDP"
"Adam Rosales  SS","2","0","0","0","0","1","3",".270",".330",".399",".729","9","7","-0.042","0.87","0.000","-0.042","-0.5","0","1","SH"
"Tyson Ross  P","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Cedrick Bowers  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Eric Patterson  PH","1","0","0","0","0","0","1",".208",".259",".416",".675","2","2","-0.009","0.35","0.000","-0.009","-0.2","","",""
"Mark Ellis  2B","4","0","1","0","0","1","4",".279",".355",".360",".715","10","7","-0.046","0.62","0.012","-0.058","-0.6","1","1",""
"Gio Gonzalez  P","2","0","0","0","0","2","2",".000",".000",".000",".000","9","6","-0.062","1.09","0.000","-0.062","-0.6","0","2",""
"Cliff Pennington  SS","2","1","1","0","0","1","2",".218",".294",".336",".630","6","5","0.025","0.39","0.026","-0.001","0.7","0","1",""
