"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Rajai Davis  CF","5","1","2","0","0","0","5",".261",".301",".333",".634","19","13","0.031","0.84","0.099","-0.067","0.3","1","0","3B,SB"
"Daric Barton  1B","3","0","1","0","2","0","5",".278",".393",".409",".802","33","16","0.003","0.94","0.065","-0.062","0.6","11","1","2B"
"Ryan Sweeney  RF","4","0","2","1","1","0","5",".314",".361",".406",".767","20","12","0.044","0.91","0.143","-0.099","1.0","2","0","3B,2B,GDP"
"Kurt Suzuki  C","5","0","0","0","0","0","5",".239",".320",".385",".705","14","10","-0.100","0.81","0.000","-0.100","-1.8","5","1",""
"Jack Cust  DH","4","0","2","0","0","1","4",".281",".410",".281",".692","18","10","-0.046","1.02","0.039","-0.085","-0.2","","",""
"Eric Patterson  PR","1","1","0","0","0","1","1",".211",".268",".474",".742","5","5","-0.001","0.04","0.000","-0.001","-0.8","","",""
"Kevin Kouzmanoff  3B","4","1","0","0","1","1","5",".249",".291",".344",".635","18","9","-0.050","0.69","0.018","-0.068","-1.0","1","3",""
"Gabe Gross  LF","3","1","0","0","1","0","4",".263",".305",".355",".660","12","6","-0.021","0.77","0.030","-0.051","0.1","5","0",""
"Mark Ellis  2B","4","2","3","4","0","0","4",".309",".377",".418",".795","9","7","0.208","0.89","0.227","-0.018","3.3","1","4","HR,2B"
"Cliff Pennington  SS","2","0","0","1","1","0","4",".216",".297",".333",".630","13","8","-0.016","0.57","0.024","-0.040","-0.1","0","2","SF"
"","","","","","","","","","","","","","","","","","","","","",""
"Brett Anderson  P","","","","","","","","","","","","","","","","","","","1","3",""
"Brad Ziegler  P","","","","","","","","","","","","","","","","","","","0","0",""
"Craig Breslow  P","","","","","","","","","","","","","","","","","","","0","0",""
