"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ichiro Suzuki  RF","4","0","0","0","0","1","4",".307",".359",".384",".743","15","9","-0.121","1.12","0.000","-0.121","-1.1","3","0",""
"Chone Figgins  2B","4","0","1","0","0","3","4",".238",".334",".288",".622","20","12","0.023","0.79","0.075","-0.052","0.1","4","2","2B"
"Franklin Gutierrez  CF","4","0","0","0","0","1","4",".244",".317",".366",".683","14","11","-0.094","0.81","0.000","-0.094","-0.9","4","0",""
"Russell Branyan  DH","4","0","0","0","0","3","4",".254",".319",".479",".798","16","10","-0.086","0.82","0.000","-0.086","-0.8","","",""
"Casey Kotchman  1B","4","0","0","0","0","4","4",".219",".293",".359",".652","23","15","-0.072","0.68","0.000","-0.072","-0.8","4","2",""
"Josh Wilson  SS","3","0","0","0","0","2","3",".255",".310",".335",".645","14","11","-0.018","0.65","0.022","-0.041","0.1","2","3",""
"Matt Tuiasosopo  3B","3","0","0","0","0","1","3",".150",".190",".217",".407","11","6","-0.067","0.88","0.000","-0.067","-0.7","0","2",""
"Michael Saunders  LF","3","0","1","0","0","0","3",".243",".316",".441",".757","13","10","0.005","0.60","0.037","-0.032","-0.2","1","0","3B"
"Rob Johnson  C","1","0","0","0","2","0","3",".191",".293",".281",".574","13","4","0.017","0.94","0.029","-0.012","0.0","5","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Luke French  P","","","","","","","","","","","","","","","","","","","0","0",""
"Sean White  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brandon League  P","","","","","","","","","","","","","","","","","","","1","0",""
