"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ichiro Suzuki  RF","5","3","3","2","0","0","5",".311",".362",".395",".757","19","11","0.119","0.90","0.199","-0.081","1.8","4","1","2·HR"
"Chone Figgins  2B","5","0","1","0","0","1","5",".247",".337",".294",".630","16","10","-0.130","0.93","0.009","-0.140","-0.7","2","1","GDP"
"Russell Branyan  DH","5","1","1","2","0","1","5",".241",".329",".488",".817","20","13","0.009","0.75","0.091","-0.082","0.5","","","HR"
"Jose Lopez  3B","4","1","2","0","0","0","5",".241",".273",".335",".608","15","9","0.073","0.58","0.090","-0.017","0.4","0","1","HBP"
"Franklin Gutierrez  CF","4","0","1","0","0","1","4",".253",".317",".370",".687","23","13","-0.063","1.13","0.023","-0.086","-0.6","3","0",""
"Casey Kotchman  1B","4","0","3","1","0","0","4",".223",".288",".356",".644","16","11","0.192","1.28","0.224","-0.032","1.8","7","1","2B"
"Josh Bard  C","3","0","0","0","1","1","4",".247",".326",".432",".758","19","12","-0.082","1.74","0.026","-0.107","-0.7","4","0",""
"Michael Saunders  LF","4","0","0","0","0","2","4",".222",".297",".401",".698","17","12","-0.203","1.75","0.000","-0.203","-2.0","2","0",""
"Josh Wilson  SS","4","0","1","0","0","2","4",".257",".311",".329",".640","14","9","-0.014","0.79","0.043","-0.057","-0.3","1","4",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jason Vargas  P","","","","","","","","","","","","","","","","","","","1","1",""
"Jamey Wright  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brian Sweeney  P","","","","","","","","","","","","","","","","","","","0","0",""
