"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ichiro Suzuki  RF","5","0","3","1","0","0","5",".343",".397",".421",".818","14","12","0.086","0.77","0.130","-0.044","1.6","0","0","2B"
"Chone Figgins  2B","5","0","1","0","0","0","5",".227",".336",".282",".618","19","14","0.021","0.89","0.095","-0.074","-0.0","2","5",""
"Franklin Gutierrez  CF","4","0","0","0","1","3","5",".278",".362",".410",".771","19","10","-0.018","0.82","0.039","-0.057","-0.3","2","0",""
"Jose Lopez  3B","5","0","1","0","0","0","5",".231",".259",".312",".570","15","10","-0.174","0.97","0.030","-0.203","-2.1","1","0","GDP"
"Milton Bradley  LF","2","0","0","0","2","0","4",".220",".298",".340",".638","18","8","-0.005","1.38","0.057","-0.062","-0.1","2","0","IW"
"Josh Wilson  SS","4","0","2","0","0","0","4",".307",".353",".409",".762","11","7","0.000","1.65","0.092","-0.092","-0.3","0","3",""
"Mike Carp  1B","4","0","2","0","0","0","4",".267",".313",".333",".646","13","9","0.064","1.72","0.136","-0.072","0.2","13","0","2B"
"Rob Johnson  C","2","1","1","0","1","1","3",".194",".308",".316",".624","12","6","0.032","1.06","0.060","-0.028","0.3","3","1","2B,IW"
"Michael Saunders  PH","1","0","0","0","0","1","1",".217",".289",".391",".681","8","5","-0.125","5.44","0.000","-0.125","-0.8","","",""
"Eliezer Alfonzo  C","0","0","0","0","0","0","0",".308",".308",".462",".769","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Cliff Lee  P","3","0","0","0","0","2","3",".000",".000",".000",".000","9","7","-0.111","1.46","0.000","-0.111","-0.9","0","1",""
"Casey Kotchman  PH","1","0","0","0","0","0","1",".189",".265",".297",".562","2","2","-0.127","5.20","0.000","-0.127","-0.7","","",""
"Sean White  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Brandon League  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
