"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ichiro Suzuki  RF","5","1","2","0","0","0","5",".311",".363",".396",".760","17","12","0.087","0.84","0.139","-0.052","0.6","2","0","3B"
"Chone Figgins  2B","4","0","1","2","1","1","5",".248",".336",".292",".629","21","13","-0.061","0.97","0.036","-0.096","0.1","0","1",""
"Russell Branyan  DH","4","0","1","0","1","1","5",".238",".326",".482",".808","31","18","0.002","0.70","0.057","-0.055","-0.1","","",""
"Jose Lopez  3B","4","0","0","0","0","0","4",".240",".272",".333",".605","13","10","-0.039","0.91","0.052","-0.090","-0.2","2","3","GDP"
"Casey Kotchman  1B","3","1","1","0","1","0","4",".226",".293",".364",".657","10","5","0.057","1.13","0.111","-0.054","0.8","9","0",""
"Franklin Gutierrez  CF","4","0","1","0","0","0","4",".246",".308",".360",".668","18","11","-0.081","1.45","0.034","-0.114","-0.5","3","1",""
"Adam Moore  C","4","0","1","0","0","1","4",".197",".228",".295",".523","17","12","-0.149","1.29","0.013","-0.162","-2.1","10","0","GDP"
"Matt Tuiasosopo  LF","3","0","0","0","1","2","4",".188",".228",".323",".551","19","10","-0.043","0.90","0.022","-0.065","-0.7","1","0",""
"Josh Wilson  SS","3","1","1","1","1","0","4",".253",".310",".326",".636","11","6","-0.028","0.83","0.041","-0.069","0.8","0","2",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jason Vargas  P","","","","","","","","","","","","","","","","","","","0","2",""
"Garrett Olson  P","","","","","","","","","","","","","","","","","","","0","0",""
"David Aardsma  P","","","","","","","","","","","","","","","","","","","0","0",""
