"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ichiro Suzuki  RF","5","1","1","0","0","0","5",".314",".360",".395",".756","19","13","-0.057","0.72","0.019","-0.076","-0.6","1","0",""
"Chone Figgins  2B","4","0","0","0","0","0","4",".258",".340",".301",".641","14","10","-0.061","0.79","0.024","-0.086","-0.8","1","1","GDP"
"Jose Lopez  3B","4","3","3","4","0","0","4",".237",".267",".337",".604","10","6","0.341","0.78","0.341","0.000","4.1","1","6","3·HR"
"Justin Smoak  1B","4","0","0","0","0","2","4",".194",".281",".325",".606","23","15","-0.112","0.73","0.000","-0.112","-1.4","14","0","GDP"
"Mike Carp  DH","4","0","1","0","0","1","4",".176",".263",".206",".469","18","10","-0.047","0.50","0.002","-0.049","-0.5","","",""
"Josh Bard  C","4","0","1","0","0","0","4",".228",".295",".386",".681","14","9","-0.032","0.35","0.003","-0.035","-0.2","5","2",""
"Ryan Langerhans  LF","4","1","2","0","0","1","4",".192",".339",".317",".656","20","11","-0.002","0.39","0.020","-0.022","-0.4","3","0",""
"Michael Saunders  CF","4","1","1","2","0","0","4",".207",".293",".364",".657","17","10","0.170","0.46","0.197","-0.027","1.2","1","0","HR"
"Chris Woodward  SS","3","0","0","0","1","2","4",".125",".222",".188",".410","20","11","0.019","0.41","0.037","-0.018","0.0","1","4",""
"","","","","","","","","","","","","","","","","","","","","",""
"David Pauley  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jamey Wright  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brandon League  P","","","","","","","","","","","","","","","","","","","0","0",""
