"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Tuesday, Apr 6","boxscore","TBR","","BAL","W-wo","4","3","","1-0","1","up 0.5","Soriano","Gonzalez","","3:02","N","36,973","+"
"2","2","Wednesday, Apr 7","boxscore","TBR","","BAL","W","4","3","","2-0","1","up 0.5","Garza","Guthrie","Soriano","2:47","N","15,220","++"
"3","3","Thursday, Apr 8","boxscore","TBR","","BAL","L","4","5","","2-1","1","Tied","Matusz","Ekstrom","Gonzalez","3:22","N","16,191","-"
"4","4","Friday, Apr 9","boxscore","TBR","","NYY","W","9","3","","3-1","1","Tied","Price","Vazquez","","2:51","N","33,221","+"
"5","5","Saturday, Apr 10","boxscore","TBR","","NYY","L","0","10","","3-2","2","1.0","Sabathia","Davis","","3:20","D","29,892","-"
"6","6","Sunday, Apr 11","boxscore","TBR","","NYY","L","3","7","","3-3","3","2.0","Burnett","Choate","","3:13","D","31,253","--"
"7","7","Monday, Apr 12","boxscore","TBR","@","BAL","W","5","1","","4-3","3","1.0","Garza","Guthrie","","2:51","N","9,129","+"
"8","8","Tuesday, Apr 13","boxscore","TBR","@","BAL","W","8","6","10","5-3","3","1.0","Cormier","Albers","Soriano","3:32","N","13,731","++"
"9","9","Wednesday, Apr 14","boxscore","TBR","@","BAL","W","9","1","","6-3","1","Tied","Price","Bergesen","","2:40","D","10,248","+++"
"10","10","Friday, Apr 16","boxscore","TBR","@","BOS","W","3","1","12","7-3","1","Tied","Cormier","Delcarmen","Soriano","4:18","N","37,084","++++"
"11","11","Saturday, Apr 17","boxscore","TBR","@","BOS","W","6","5","","8-3","1","Tied","Shields","Buchholz","Soriano","3:19","N","37,022","+++++"
"12","12","Sunday, Apr 18","boxscore","TBR","@","BOS","W","7","1","","9-3","1","Tied","Garza","Lester","","3:05","D","37,143","++++++"
"13","13","Monday, Apr 19","boxscore","TBR","@","BOS","W","8","2","","10-3","1","up 0.5","Niemann","Lackey","","2:49","D","37,609","+++++++"
"14","14","Tuesday, Apr 20","boxscore","TBR","@","CHW","L","1","4","","10-4","2","0.5","Danks","Price","Jenks","2:22","N","19,260","-"
"15","15","Wednesday, Apr 21","boxscore","TBR","@","CHW","W","12","0","","11-4","2","0.5","Davis","Buehrle","","3:00","N","17,023","+"
"16","16","Thursday, Apr 22","boxscore","TBR","@","CHW","W","10","2","","12-4","1","up 0.5","Shields","Peavy","","2:50","N","18,207","++"
"17","17","Friday, Apr 23","boxscore","TBR","","TOR","L","5","6","","12-5","1","up 0.5","Cecil","Garza","Gregg","3:15","N","22,056","-"
"18","18","Saturday, Apr 24","boxscore","TBR","","TOR","W","9","3","","13-5","1","up 0.5","Wheeler","Downs","","2:55","N","23,870","+"
"19","19","Sunday, Apr 25","boxscore","TBR","","TOR","W","6","0","","14-5","1","up 1.5","Price","Morrow","","2:38","D","23,250","++"
"20","20","Tuesday, Apr 27","boxscore","TBR","","OAK","W","8","6","","15-5","1","up 2.5","Davis","Sheets","Soriano","2:49","N","10,825","+++"
"21","21","Wednesday, Apr 28","boxscore","TBR","","OAK","W","10","3","","16-5","1","up 2.5","Shields","Braden","","2:57","N","10,691","++++"
"22","22","Thursday, Apr 29","boxscore","TBR","","KCR","W","11","1","","17-5","1","up 2.5","Garza","Hochevar","","3:13","N","12,766","+++++"
