"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Melvin Upton  CF","4","1","2","0","1","0","5",".225",".309",".418",".726","13","7","-0.124","1.19","0.101","-0.224","-0.6","4","0","2B"
"Carl Crawford  LF","5","1","2","5","0","0","5",".316",".371",".498",".868","13","9","0.054","1.65","0.189","-0.134","2.5","3","0","HR"
"Evan Longoria  3B","5","0","1","0","0","0","5",".316",".385",".563",".948","17","10","-0.044","1.05","0.062","-0.106","-0.2","1","2",""
"Willy Aybar  DH","5","0","1","0","0","1","5",".247",".277",".427",".704","20","12","-0.165","1.13","0.000","-0.166","-1.3","","",""
"Sean Rodriguez  2B","5","1","2","0","0","1","5",".239",".283",".359",".642","24","14","0.106","1.34","0.182","-0.076","-0.2","5","8","2B"
"Ben Zobrist  1B-RF","4","0","2","0","0","0","4",".307",".374",".442",".817","10","8","0.049","2.08","0.163","-0.115","-0.2","7","0",""
"Gabe Kapler  RF","2","0","0","0","0","0","3",".230",".326",".297",".623","10","6","-0.022","0.82","0.027","-0.049","-0.1","1","0","HBP"
"John Jaso  PH","1","1","0","0","0","0","1",".304",".420",".435",".854","4","3","-0.067","5.43","0.000","-0.067","-0.3","","",""
"Carlos Pena  1B","0","0","0","0","0","0","0",".176",".296",".346",".642","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Dioner Navarro  C","3","1","1","1","0","0","4",".204",".288",".247",".536","6","5","0.179","2.51","0.254","-0.075","0.6","5","1","SH"
"Reid Brignac  SS","4","2","1","1","0","1","4",".299",".354",".453",".807","15","11","0.400","2.16","0.455","-0.056","2.2","1","1","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"David Price  P","","","","","","","","","","","","","","","","","","","0","1",""
"Rafael Soriano  P","","","","","","","","","","","","","","","","","","","0","0",""
