"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Monday, Apr 5","boxscore","TEX","","TOR","W-wo","5","4","","1-0","1","Tied","Francisco","Frasor","","2:36","D","50,299","+"
"2","2","Wednesday, Apr 7","boxscore","TEX","","TOR","L","4","7","","1-1","2","0.5","Tallet","Nippert","Frasor","2:56","N","22,890","-"
"3","3","Thursday, Apr 8","boxscore","TEX","","TOR","L","1","3","","1-2","2","1.5","Janssen","Francisco","Frasor","2:45","D","14,707","--"
"4","4","Friday, Apr 9","boxscore","TEX","","SEA","W","6","2","","2-2","2","1.5","Lewis","Vargas","","2:22","N","25,271","+"
"5","5","Saturday, Apr 10","boxscore","TEX","","SEA","L","3","4","","2-3","2","1.5","Lowe","Francisco","Aardsma","2:53","D","26,861","-"
"6","6","Sunday, Apr 11","boxscore","TEX","","SEA","W","9","2","","3-3","2","1.5","Feldman","Snell","","3:03","D","26,846","+"
"7","7","Monday, Apr 12","boxscore","TEX","@","CLE","W","4","2","10","4-3","2","1.5","Francisco","Wright","Feliz","3:11","D","42,061","++"
"8","8","Wednesday, Apr 14","boxscore","TEX","@","CLE","W","6","2","","5-3","1","Tied","Lewis","Masterson","Feliz","3:14","N","10,071","+++"
"9","9","Thursday, Apr 15","boxscore","TEX","@","CLE","L","2","3","","5-4","2","1.0","Huff","Harrison","","2:03","D","10,198","-"
"10","10","Friday, Apr 16","boxscore","TEX","@","NYY","L","1","5","6","5-5","2","2.0","Sabathia","Wilson","","1:58","N","42,145","--"
"11","11","Saturday, Apr 17","boxscore","TEX","@","NYY","L","3","7","","5-6","3","3.0","Burnett","Feldman","","3:05","D","44,963","---"
"12","12","Sunday, Apr 18","boxscore","TEX","@","NYY","L","2","5","","5-7","4","3.0","Pettitte","Harden","Rivera","2:52","D","44,121","----"
"13","13","Tuesday, Apr 20","boxscore","TEX","@","BOS","L-wo","6","7","","5-8","4","3.0","Papelbon","Francisco","","3:46","N","37,614","-----"
"14","14","Wednesday, Apr 21","boxscore","TEX","@","BOS","L-wo","7","8","12","5-9","4","3.0","Okajima","Nippert","","3:49","N","37,518","------"
"15","15","Thursday, Apr 22","boxscore","TEX","@","BOS","W","3","0","","6-9","4","3.0","Wilson","Buchholz","Oliver","2:58","N","37,417","+"
"16","16","Friday, Apr 23","boxscore","TEX","","DET","W-wo","5","4","","7-9","4","3.0","Feliz","Ni","","3:04","N","26,445","++"
"17","17","Saturday, Apr 24","boxscore","TEX","","DET","L","4","8","","7-10","4","3.0","Bonine","Feldman","","3:06","N","45,752","-"
"18","18","Sunday, Apr 25","boxscore","TEX","","DET","W","8","4","","8-10","4","3.0","Lewis","Porcello","","2:47","D","31,211","+"
"19","19","Monday, Apr 26","boxscore","TEX","","DET","L","6","8","","8-11","4","3.5","Coke","Feliz","Valverde","2:43","N","16,381","-"
"20","20","Tuesday, Apr 27","boxscore","TEX","","CHW","W","4","2","","9-11","4","2.5","Wilson","Buehrle","Francisco","2:19","N","14,589","+"
"21","21","Wednesday, Apr 28","boxscore","TEX","","CHW","W","6","5","","10-11","4","1.5","Harden","Peavy","Feliz","2:48","N","20,432","++"
"22","22","Thursday, Apr 29","boxscore","TEX","","CHW","L","5","7","","10-12","4","1.5","Floyd","O'Day","","2:53","D","17,778","-"
"23","23","Friday, Apr 30","boxscore","TEX","@","SEA","W","2","0","12","11-12","3","0.5","Francisco","League","Feliz","3:14","N","34,055","+"
"24","24","Saturday, May 1","boxscore","TEX","@","SEA","W","6","3","","12-12","2","0.5","Harrison","Hernandez","Francisco","3:14","D","30,225","++"
"25","25","Sunday, May 2","boxscore","TEX","@","SEA","W","3","1","11","13-12","1","up 0.5","Nippert","Lowe","Feliz","3:16","D","27,185","+++"
"26","26","Monday, May 3","boxscore","TEX","@","OAK","W","4","2","","14-12","1","up 1.5","Harden","Braden","Feliz","2:40","N","8,874","++++"
"27","27","Tuesday, May 4","boxscore","TEX","@","OAK","L","6","7","","14-13","1","up 0.5","Ziegler","Feldman","Bailey","2:30","N","10,135","-"
"28","28","Wednesday, May 5","boxscore","TEX","@","OAK","L","1","4","","14-14","2","0.5","Cahill","Lewis","Bailey","2:26","D","15,403","--"
"29","29","Thursday, May 6","boxscore","TEX","","KCR","W","13","12","","15-14","1","Tied","Francisco","Soria","Feliz","3:12","N","15,132","+"
"30","30","Friday, May 7","boxscore","TEX","","KCR","W","4","1","","16-14","1","up 1.0","Wilson","Greinke","","2:09","N","29,065","++"
"31","31","Saturday, May 8","boxscore","TEX","","KCR","W","3","2","","17-14","1","up 1.0","Ray","Meche","Feliz","2:43","N","36,349","+++"
"32","32","Sunday, May 9","boxscore","TEX","","KCR","W","6","4","","18-14","1","up 1.0","Mathis","Thompson","Feliz","3:13","D","25,476","++++"
"33","33","Tuesday, May 11","boxscore","TEX","","OAK","L","6","7","13","18-15","1","Tied","Ross","Nippert","","4:08","N","15,474","-"
"34","34","Wednesday, May 12","boxscore","TEX","","OAK","W","10","1","","19-15","1","up 1.0","Holland","Gonzalez","","3:08","N","26,625","+"
"35","35","Thursday, May 13","boxscore","TEX","","OAK","W-wo","2","1","12","20-15","1","up 2.0","Nippert","Bailey","","3:51","D","27,507","++"
