"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Elvis Andrus  SS","4","0","1","0","0","0","4",".278",".358",".319",".677","22","12","-0.072","0.73","0.013","-0.085","-0.7","2","2","CS"
"Michael Young  3B","3","0","1","0","1","1","4",".299",".354",".471",".825","18","12","0.101","0.66","0.125","-0.024","0.9","1","1","3B"
"Ian Kinsler  2B","3","1","1","0","1","1","4",".305",".395",".434",".829","20","10","-0.023","0.99","0.059","-0.082","0.3","2","1",""
"Vladimir Guerrero  DH","3","0","0","0","0","2","4",".316",".367",".534",".902","14","9","-0.088","1.11","0.038","-0.126","-0.5","","","HBP"
"Josh Hamilton  CF","4","0","0","1","0","1","4",".353",".395",".631","1.026","16","11","-0.142","1.31","0.000","-0.142","-0.9","3","0",""
"Nelson Cruz  RF","4","0","1","0","0","1","4",".320",".378",".587",".965","16","10","-0.032","0.94","0.040","-0.072","-0.7","5","0",""
"David Murphy  LF","3","0","0","0","1","0","4",".262",".321",".385",".706","20","10","0.017","0.87","0.060","-0.044","-0.2","0","0",""
"Bengie Molina  C","2","0","0","0","1","0","3",".254",".308",".352",".661","15","9","-0.146","1.53","0.016","-0.162","-1.0","5","0","GDP"
"Chris Davis  1B","3","0","0","0","0","2","3",".179",".247",".250",".497","10","8","-0.058","0.72","0.000","-0.058","-0.6","6","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Colby Lewis  P","","","","","","","","","","","","","","","","","","","0","0",""
"Doug Mathis  P","","","","","","","","","","","","","","","","","","","0","0",""
