"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Elvis Andrus  SS","4","0","1","0","1","0","5",".294",".378",".345",".722","24","13","0.075","1.19","0.146","-0.071","0.2","1","6","SB"
"Michael Young  3B","4","0","0","0","0","3","4",".318",".366",".481",".847","17","14","-0.149","1.44","0.000","-0.149","-1.1","0","0",""
"Ian Kinsler  2B","4","1","1","0","0","1","4",".270",".374",".342",".716","12","8","-0.116","1.37","0.012","-0.128","-0.8","5","3",""
"Vladimir Guerrero  RF","4","0","1","0","0","0","4",".336",".370",".563",".933","13","11","-0.083","1.18","0.026","-0.109","-0.4","2","0",""
"Craig Gentry  RF","0","0","0","0","0","0","0",".226",".242",".226",".468","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Josh Hamilton  LF","3","1","2","1","1","0","4",".313",".363",".577",".941","17","11","0.338","2.12","0.338","0.000","2.1","3","0","SB"
"Justin Smoak  1B","4","0","0","0","0","1","4",".208",".321",".365",".686","17","10","-0.232","1.92","0.000","-0.232","-1.5","6","0",""
"Max Ramirez  C","3","0","0","0","0","3","3",".218",".333",".345",".679","13","9","-0.094","1.25","0.000","-0.094","-0.8","7","0",""
"David Murphy  PH","1","0","0","0","0","0","1",".262",".292",".369",".661","1","1","-0.099","4.05","0.000","-0.099","-0.3","","",""
"Neftali Feliz  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Julio Borbon  CF","3","1","0","0","1","0","4",".280",".298",".335",".633","17","8","-0.032","1.81","0.037","-0.070","-0.4","2","0",""
"C.J. Wilson  P","2","0","0","0","0","0","2",".000",".000",".000",".000","5","4","-0.034","0.67","0.000","-0.034","-0.3","0","0",""
"Joaquin Arias  PH","1","0","0","0","0","0","1",".279",".290",".324",".613","2","2","-0.021","0.80","0.000","-0.021","-0.1","","",""
"Chris Ray  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Alexi Ogando  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Matt Treanor  PH-C","1","0","1","2","0","0","1",".224",".308",".392",".700","1","1","0.668","5.89","0.668","0.000","1.9","1","0","3B"
