"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Cristian Guzman  SS","4","1","2","1","1","0","5",".269",".315",".342",".657","18","9","-0.020","0.82","0.042","-0.063","0.7","1","0","2B"
"Michael Young  3B","5","0","2","0","0","1","5",".290",".339",".466",".805","14","13","-0.029","1.07","0.062","-0.091","-0.5","0","3",""
"David Murphy  LF","3","0","1","0","2","0","5",".279",".349",".427",".777","29","18","0.111","1.28","0.151","-0.040","0.4","2","0",""
"Vladimir Guerrero  DH","5","0","1","1","0","2","5",".293",".339",".487",".826","14","10","-0.267","2.04","0.000","-0.267","-0.9","","","GDP"
"Nelson Cruz  RF","4","1","1","0","0","1","4",".310",".367",".562",".929","15","11","-0.042","0.99","0.038","-0.080","-0.3","2","0",""
"Ian Kinsler  2B","3","2","1","0","1","0","4",".300",".388",".426",".814","19","11","0.016","1.06","0.078","-0.063","0.5","1","0",""
"Mitch Moreland  1B","4","0","1","0","0","1","4",".250",".343",".443",".786","19","13","0.005","1.18","0.047","-0.042","-0.2","8","0",""
"Matt Treanor  C","4","0","1","2","0","2","4",".219",".292",".333",".625","17","11","0.048","1.16","0.116","-0.068","0.3","5","1",""
"Julio Borbon  CF","4","1","1","1","0","0","4",".271",".304",".347",".651","8","6","-0.043","0.80","0.009","-0.052","0.5","4","0","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"C.J. Wilson  P","","","","","","","","","","","","","","","","","","","1","2",""
"Michael Kirkman  P","","","","","","","","","","","","","","","","","","","0","0",""
"Alexi Ogando  P","","","","","","","","","","","","","","","","","","","0","0",""
"Dustin Nippert  P","","","","","","","","","","","","","","","","","","","0","0",""
