"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ian Kinsler  2B","5","0","0","0","0","1","5",".291",".375",".418",".793","22","15","-0.115","0.80","0.000","-0.115","-1.4","1","1",""
"Michael Young  3B","4","0","0","0","0","1","4",".290",".340",".462",".803","16","10","-0.191","0.97","0.000","-0.191","-2.0","1","1","GDP"
"David Murphy  LF","3","1","1","0","1","0","4",".286",".354",".436",".791","15","8","0.046","0.56","0.073","-0.027","0.9","3","0","2B,SB"
"Vladimir Guerrero  DH","4","2","3","0","0","1","4",".301",".345",".500",".845","8","6","0.109","0.88","0.121","-0.013","0.8","","",""
"Nelson Cruz  RF","4","1","2","0","0","0","4",".313",".368",".567",".935","12","7","0.162","1.27","0.217","-0.055","1.4","3","0","2B"
"Mitch Moreland  1B","2","0","1","3","1","0","4",".258",".355",".462",".817","11","4","0.038","1.03","0.092","-0.054","0.8","3","0","2B,SF,GDP,IW"
"Bengie Molina  C","4","0","1","0","0","0","4",".238",".289",".317",".605","10","8","-0.047","0.77","0.040","-0.087","-1.2","9","1",""
"Andres Blanco  SS","4","0","1","0","0","0","4",".285",".329",".364",".694","15","8","0.024","0.74","0.061","-0.037","-0.2","3","1",""
"Julio Borbon  CF","4","0","1","0","0","0","4",".273",".304",".347",".652","20","13","0.051","0.80","0.079","-0.029","0.2","4","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Colby Lewis  P","","","","","","","","","","","","","","","","","","","0","0",""
"Clay Rapada  P","","","","","","","","","","","","","","","","","","","0","0",""
"Darren O'Day  P","","","","","","","","","","","","","","","","","","","0","0",""
"Neftali Feliz  P","","","","","","","","","","","","","","","","","","","0","0",""
