"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Monday, Apr 5","boxscore","TOR","@","TEX","L-wo","4","5","","0-1","4","1.0","Francisco","Frasor","","2:36","D","50,299","-"
"2","2","Wednesday, Apr 7","boxscore","TOR","@","TEX","W","7","4","","1-1","3","1.0","Tallet","Nippert","Frasor","2:56","N","22,890","+"
"3","3","Thursday, Apr 8","boxscore","TOR","@","TEX","W","3","1","","2-1","1","Tied","Janssen","Francisco","Frasor","2:45","D","14,707","++"
"4","4","Friday, Apr 9","boxscore","TOR","@","BAL","W","7","6","","3-1","1","Tied","Janssen","Gonzalez","Gregg","2:54","D","48,891","+++"
"5","5","Saturday, Apr 10","boxscore","TOR","@","BAL","W","3","0","","4-1","1","up 1.0","Eveland","Hernandez","Frasor","2:24","N","21,148","++++"
"6","6","Sunday, Apr 11","boxscore","TOR","@","BAL","W","5","2","","5-1","1","up 1.0","Janssen","Millwood","Gregg","2:22","D","22,499","+++++"
"7","7","Monday, Apr 12","boxscore","TOR","","CHW","L","7","8","11","5-2","1","up 0.5","Thornton","Accardo","Jenks","3:29","N","46,321","-"
"8","8","Tuesday, Apr 13","boxscore","TOR","","CHW","W","4","2","","6-2","1","up 0.5","Romero","Floyd","Gregg","2:11","N","12,167","+"
"9","9","Wednesday, Apr 14","boxscore","TOR","","CHW","L","1","11","","6-3","1","Tied","Danks","Morrow","","2:47","N","10,610","-"
"10","10","Thursday, Apr 15","boxscore","TOR","","CHW","W","7","3","","7-3","1","up 0.5","Eveland","Garcia","","2:47","N","10,744","+"
"11","11","Friday, Apr 16","boxscore","TOR","","LAA","L","5","7","","7-4","3","0.5","Weaver","Marcum","Rodney","2:48","N","14,779","-"
"12","12","Saturday, Apr 17","boxscore","TOR","","LAA","L","3","6","","7-5","3","1.5","Saunders","Tallet","Rodney","2:41","D","17,187","--"
"13","13","Sunday, Apr 18","boxscore","TOR","","LAA","L","1","3","","7-6","3","2.5","Santana","Romero","","2:21","D","14,246","---"
"14","14","Monday, Apr 19","boxscore","TOR","","KCR","W","8","1","","8-6","3","2.5","Morrow","Bannister","","2:42","N","10,314","+"
"15","15","Tuesday, Apr 20","boxscore","TOR","","KCR","W","4","3","","9-6","3","2.0","Camp","Davies","Gregg","2:30","N","10,565","++"
"16","16","Wednesday, Apr 21","boxscore","TOR","","KCR","L","3","4","10","9-7","3","3.0","Tejeda","Downs","Soria","2:40","D","15,577","-"
"17","17","Friday, Apr 23","boxscore","TOR","@","TBR","W","6","5","","10-7","3","2.0","Cecil","Garza","Gregg","3:15","N","22,056","+"
"18","18","Saturday, Apr 24","boxscore","TOR","@","TBR","L","3","9","","10-8","3","3.0","Wheeler","Downs","","2:55","N","23,870","-"
"19","19","Sunday, Apr 25","boxscore","TOR","@","TBR","L","0","6","","10-9","3","4.0","Price","Morrow","","2:38","D","23,250","--"
"20","20","Monday, Apr 26","boxscore","TOR","","BOS","L","12","13","","10-10","3","4.5","Schoeneweis","Camp","Papelbon","4:03","N","13,847","---"
"21","21","Tuesday, Apr 27","boxscore","TOR","","BOS","L","1","2","","10-11","3","5.5","Buchholz","Downs","Ramirez","2:49","N","14,776","----"
