"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Fred Lewis  LF","4","2","1","1","1","0","6",".282",".346",".458",".805","25","12","0.095","0.39","0.103","-0.008","0.8","0","0","2B,HBP"
"John McDonald  SS","6","0","0","0","0","1","6",".211",".233",".394",".627","28","19","-0.082","0.43","0.002","-0.084","-2.1","3","2",""
"Jose Bautista  RF","6","2","3","5","0","1","6",".241",".358",".549",".907","21","13","0.228","0.44","0.234","-0.006","3.1","2","0","HR,2B"
"Vernon Wells  CF","5","0","1","0","0","0","5",".266",".316",".514",".830","15","10","-0.008","0.29","0.019","-0.027","-0.9","5","0",""
"Adam Lind  DH","5","2","2","2","0","2","5",".218",".273",".375",".648","21","14","-0.010","0.29","0.016","-0.026","1.5","","","HR"
"Aaron Hill  2B","5","1","3","0","0","2","5",".202",".283",".374",".657","20","16","0.024","0.26","0.041","-0.017","1.0","5","4",""
"Lyle Overbay  1B","3","2","0","1","2","0","5",".251",".331",".414",".745","19","9","0.021","0.30","0.028","-0.006","0.1","10","2",""
"John Buck  C","5","3","3","1","0","1","5",".285",".315",".518",".833","15","10","0.069","0.33","0.082","-0.013","2.4","1","0","3·2B"
"Edwin Encarnacion  3B","5","1","3","3","0","0","5",".240",".311",".474",".785","11","7","0.001","0.27","0.042","-0.041","2.7","0","1","3·2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Jesse Litsch  P","","","","","","","","","","","","","","","","","","","1","1",""
"David Purcey  P","","","","","","","","","","","","","","","","","","","0","0",""
"Casey Janssen  P","","","","","","","","","","","","","","","","","","","0","1",""
"Jason Frasor  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brian Tallet  P","","","","","","","","","","","","","","","","","","","0","1",""
