"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Dewayne Wise  RF","4","0","2","0","1","0","5",".284",".303",".486",".789","12","7","0.054","0.97","0.106","-0.052","0.5","1","0",""
"Aaron Hill  2B","4","0","0","0","0","1","5",".210",".280",".398",".679","19","11","0.002","1.20","0.086","-0.084","-0.3","1","3","HBP"
"Jose Bautista  3B","3","1","0","0","1","3","4",".268",".387",".618","1.004","20","11","-0.101","1.10","0.016","-0.117","-0.9","0","2",""
"Mike McCoy  SS","0","0","0","0","0","0","0",".200",".246",".246",".493","","","0.000","0.00","0.000","0.000","0.0","1","1",""
"Vernon Wells  CF","4","1","1","0","0","1","4",".266",".319",".498",".817","16","10","-0.162","1.47","0.033","-0.195","-1.2","3","0","GDP"
"Lyle Overbay  1B","3","1","2","3","1","1","4",".250",".337",".439",".776","14","8","0.336","1.35","0.374","-0.038","3.0","12","0","HR,2B"
"John Buck  C","3","1","0","0","1","1","4",".277",".308",".483",".791","18","9","-0.088","1.23","0.023","-0.111","-0.6","4","1",""
"Adam Lind  DH","4","0","1","0","0","0","4",".231",".284",".406",".690","11","8","-0.033","1.10","0.043","-0.075","-0.3","","",""
"John McDonald  SS-3B","4","1","1","2","0","2","4",".254",".281",".500",".781","14","10","0.055","1.41","0.174","-0.119","1.0","0","4","HR"
"Travis Snider  LF","4","0","0","0","0","2","4",".237",".300",".441",".741","18","13","-0.102","0.98","0.000","-0.102","-0.8","2","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Marc Rzepczynski  P","","","","","","","","","","","","","","","","","","","0","1",""
"Jesse Carlson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jason Frasor  P","","","","","","","","","","","","","","","","","","","0","0",""
"David Purcey  P","","","","","","","","","","","","","","","","","","","0","0",""
