"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Fred Lewis  DH","5","2","2","0","0","1","5",".264",".333",".423",".756","20","14","0.040","0.84","0.081","-0.041","0.6","","","SB"
"Dewayne Wise  RF","5","2","3","2","0","0","5",".271",".282",".486",".767","17","11","0.161","0.91","0.171","-0.010","1.4","2","0","SB"
"Jose Bautista  3B","3","2","2","4","1","0","5",".268",".385",".623","1.008","17","9","0.103","0.88","0.121","-0.018","3.7","1","1","HR,HBP"
"Vernon Wells  CF","5","1","2","2","0","1","5",".267",".319",".500",".819","16","12","0.189","1.16","0.254","-0.065","0.9","2","1","2·2B"
"Adam Lind  1B","5","1","1","1","0","0","5",".232",".287",".412",".699","12","7","0.025","0.68","0.100","-0.075","-0.3","11","1","2B,GDP"
"John Buck  C","5","1","1","1","0","1","5",".280",".309",".481",".790","14","10","0.027","0.48","0.066","-0.039","0.2","7","0","2B"
"Aaron Hill  2B","3","1","1","2","0","0","3",".213",".281",".403",".684","12","9","0.029","0.53","0.056","-0.027","1.1","1","4","HR"
"Mike McCoy  PH-2B","2","0","0","0","0","0","2",".193",".246",".246",".492","6","4","0.000","0.01","0.000","0.000","-0.3","0","2",""
"Travis Snider  LF","4","0","1","0","1","2","5",".239",".305",".438",".742","21","14","-0.004","0.41","0.025","-0.029","-0.1","1","0","2B,SB"
"John McDonald  SS","4","3","2","1","1","0","5",".268",".293",".509",".802","18","10","0.090","0.35","0.126","-0.036","1.5","1","5","HR"
"","","","","","","","","","","","","","","","","","","","","",""
"Ricky Romero  P","","","","","","","","","","","","","","","","","","","1","1",""
"Casey Janssen  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jason Frasor  P","","","","","","","","","","","","","","","","","","","0","0",""
