"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Bautista  RF","3","0","0","1","2","1","5",".000",".300",".000",".300","22","11","0.067","1.20","0.134","-0.067","0.4","3","0",""
"Aaron Hill  2B","4","0","0","0","1","1","5",".125",".222",".250",".472","26","15","-0.125","1.10","0.014","-0.139","-1.8","2","0",""
"Adam Lind  DH","4","1","0","0","1","2","5",".429",".556",".857","1.413","20","11","-0.040","0.88","0.047","-0.087","-0.7","","",""
"Vernon Wells  CF","3","4","2","3","1","0","5",".714",".778","2.000","2.778","17","8","0.279","0.91","0.301","-0.023","3.0","2","0","2·HR,HBP"
"Lyle Overbay  1B","3","1","0","0","2","1","5",".000",".222",".000",".222","22","10","0.040","0.88","0.088","-0.048","0.3","8","0",""
"John Buck  C","4","0","1","0","0","3","5",".125",".222",".250",".472","21","15","-0.048","0.96","0.046","-0.094","0.1","9","0","2B,HBP"
"Edwin Encarnacion  3B","3","0","0","1","1","1","5",".000",".111",".000",".111","15","7","0.069","0.99","0.091","-0.021","0.7","2","3","SF"
"Alex Gonzalez  SS","5","1","1","1","0","1","5",".222",".222",".556",".778","16","13","-0.031","1.16","0.108","-0.139","-1.2","0","5","HR"
"Travis Snider  LF","3","0","1","1","2","0","5",".143",".333",".286",".619","17","8","0.137","1.15","0.170","-0.034","1.2","1","0","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Brian Tallet  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kevin Gregg  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jason Frasor  P","","","","","","","","","","","","","","","","","","","0","0",""
