"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brian Roberts  2B","4","0","2","0","0","0","4",".235",".250",".471",".721","9","6","0.044","0.63","0.069","-0.025","0.2","3","1",""
"Robert Andino  2B","0","0","0","0","0","0","0",".000",".091",".000",".091","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Nick Markakis  RF","4","1","0","0","0","0","4",".244",".314",".422",".736","13","12","-0.081","0.88","0.000","-0.081","-1.3","1","0","GDP"
"Derrek Lee  1B","3","1","2","0","1","0","4",".227",".320",".318",".638","20","13","0.064","0.49","0.074","-0.010","1.1","8","1",""
"Vladimir Guerrero  DH","4","0","0","0","0","1","4",".260",".260",".340",".600","14","13","-0.109","1.20","0.000","-0.109","-1.5","","",""
"Luke Scott  LF","4","0","1","1","0","1","4",".217",".357",".304",".661","11","8","0.007","0.86","0.065","-0.058","0.2","1","0",""
"Adam Jones  CF","4","0","1","0","0","1","4",".200",".213",".333",".546","13","10","-0.069","0.52","0.000","-0.069","-0.5","2","0",""
"Mark Reynolds  3B","4","0","1","1","0","0","4",".250",".311",".450",".761","10","8","-0.054","0.56","0.001","-0.055","0.3","0","2",""
"Matt Wieters  C","3","0","0","0","0","0","3",".194",".275",".333",".608","12","7","-0.036","0.48","0.000","-0.036","-0.4","7","1",""
"Jake Fox  C","0","0","0","0","0","0","1",".000",".125",".000",".125","2","0","0.003","0.09","0.003","0.000","0.3","0","0","HBP"
"Cesar Izturis  SS","4","0","1","0","0","1","4",".286",".375",".286",".661","16","11","-0.021","0.25","0.003","-0.024","-0.6","1","4",""
"","","","","","","","","","","","","","","","","","","","","",""
"Zach Britton  P","","","","","","","","","","","","","","","","","","","1","1",""
"Josh Rupe  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jeremy Accardo  P","","","","","","","","","","","","","","","","","","","0","0",""
"Koji Uehara  P","","","","","","","","","","","","","","","","","","","0","0",""
