"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Matt Angle  CF","4","0","0","0","1","2","5",".171",".284",".263",".547","24","14","-0.081","0.70","0.003","-0.084","-0.8","0","0",""
"Robert Andino  2B","2","1","1","0","3","0","5",".265",".331",".342",".672","25","10","0.091","0.63","0.095","-0.004","1.0","1","3","SB"
"Chris Davis  3B","4","0","0","0","0","0","4",".255",".293",".388",".681","14","10","-0.154","1.22","0.000","-0.154","-1.6","0","1","GDP"
"Vladimir Guerrero  DH","4","0","0","0","0","0","4",".290",".317",".417",".734","16","10","-0.073","0.69","0.000","-0.073","-1.0","","",""
"Jake Fox  1B","2","2","2","0","1","0","4",".246",".313",".443",".756","18","9","0.152","0.88","0.152","0.000","1.7","7","1","2B,HBP"
"Nolan Reimold  RF","4","2","2","3","0","0","4",".246",".327",".446",".773","15","8","0.005","1.06","0.092","-0.087","2.3","1","0","HR,GDP"
"Kyle Hudson  LF","4","0","0","0","0","2","4",".143",".143",".143",".286","20","16","-0.121","1.13","0.000","-0.121","-1.3","3","0",""
"Pedro Florimon  SS","3","1","1","2","1","2","4",".125",".222",".250",".472","22","14","0.118","0.77","0.145","-0.026","1.3","2","2","2B"
"Craig Tatum  C","4","0","1","1","0","0","4",".195",".245",".230",".475","14","8","0.083","0.69","0.116","-0.033","-0.2","10","0","GDP"
"","","","","","","","","","","","","","","","","","","","","",""
"Brian Matusz  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brad Bergesen  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jeremy Accardo  P","","","","","","","","","","","","","","","","","","","0","0",""
"Chris Jakubauskas  P","","","","","","","","","","","","","","","","","","","0","0",""
