"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"J.J. Hardy  SS","5","3","3","2","0","0","5",".280",".330",".519",".849","17","12","0.122","0.88","0.183","-0.060","2.4","2","3","2·HR,2B"
"Nick Markakis  RF","5","0","0","0","0","0","5",".285",".335",".390",".725","16","9","-0.108","0.78","0.000","-0.108","-1.4","4","0",""
"Adam Jones  CF","4","0","2","2","0","0","4",".292",".331",".488",".819","13","7","0.075","0.72","0.108","-0.033","1.1","2","0",""
"Vladimir Guerrero  DH","4","1","2","1","0","0","4",".277",".312",".388",".700","10","7","0.146","1.00","0.170","-0.025","1.3","","","HR,SB"
"Derrek Lee  1B","4","0","0","0","0","0","4",".245",".301",".394",".695","11","8","-0.122","0.96","0.000","-0.122","-1.3","5","1",""
"Matt Wieters  C","4","0","0","0","0","0","4",".259",".319",".402",".721","13","9","-0.119","1.05","0.000","-0.119","-1.2","6","0",""
"Mark Reynolds  3B","3","0","0","0","1","1","4",".217",".335",".464",".799","17","8","-0.028","0.43","0.009","-0.037","-0.4","1","3",""
"Nolan Reimold  LF","3","0","0","0","1","1","4",".240",".336",".460",".796","18","11","0.006","0.44","0.032","-0.026","-0.1","3","0",""
"Robert Andino  2B","3","1","1","0","1","1","4",".264",".336",".328",".664","19","10","0.010","0.64","0.050","-0.040","-0.1","1","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Brad Bergesen  P","","","","","","","","","","","","","","","","","","","0","0",""
"Mark Hendrickson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Chris Jakubauskas  P","","","","","","","","","","","","","","","","","","","0","0",""
"Koji Uehara  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jim Johnson  P","","","","","","","","","","","","","","","","","","","0","0",""
