"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jacoby Ellsbury  CF","5","1","3","1","0","0","5",".307",".366",".475",".841","12","8","0.103","0.59","0.118","-0.015","1.7","4","0","2B,SB"
"Dustin Pedroia  2B","3","0","1","1","2","0","5",".247",".361",".338",".699","17","7","-0.005","0.66","0.038","-0.044","0.8","3","2",""
"Adrian Gonzalez  1B","4","0","0","2","1","3","5",".335",".385",".566",".951","25","13","0.042","0.75","0.069","-0.028","0.0","8","2",""
"Kevin Youkilis  3B","4","1","1","0","1","3","5",".255",".380",".470",".850","19","13","-0.015","0.34","0.016","-0.032","-0.6","0","2",""
"David Ortiz  DH","4","2","1","2","1","0","5",".323",".390",".609",".999","24","12","0.155","0.40","0.179","-0.024","1.0","","","HR,GDP"
"Carl Crawford  LF","5","2","2","1","0","1","5",".247",".283",".396",".679","13","10","0.028","0.27","0.045","-0.016","1.2","3","0","HR"
"Marco Scutaro  SS","5","2","2","0","0","0","5",".247",".318",".325",".642","21","14","0.042","0.47","0.060","-0.017","0.7","0","1","2B,SB"
"J.D. Drew  RF","3","1","1","3","1","1","5",".229",".333",".346",".680","19","10","-0.004","0.38","0.016","-0.020","1.4","1","0","HR,SF,IW"
"Jason Varitek  C","3","2","0","1","2","0","5",".218",".306",".333",".639","23","11","0.013","0.35","0.021","-0.008","0.0","6","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Tim Wakefield  P","","","","","","","","","","","","","","","","","","","2","0",""
"Alfredo Aceves  P","","","","","","","","","","","","","","","","","","","0","0",""
