"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jacoby Ellsbury  CF","3","0","1","0","1","0","4",".317",".376",".533",".909","13","7","0.069","0.80","0.092","-0.023","0.4","2","0",""
"Dustin Pedroia  2B","3","0","0","0","0","1","3",".296",".381",".454",".835","16","12","-0.105","1.38","0.000","-0.105","-1.0","4","1",""
"Nate Spears  PH-2B","1","0","0","0","0","0","1",".000",".000",".000",".000","3","1","-0.001","0.03","0.000","-0.001","-0.2","0","0",""
"Adrian Gonzalez  1B","2","0","0","0","1","1","3",".339",".406",".555",".961","10","5","0.042","1.13","0.072","-0.030","0.3","8","0",""
"Conor Jackson  PH-1B","1","0","0","0","0","0","1",".246",".311",".337",".648","3","2","0.000","0.01","0.000","0.000","-0.1","1","0",""
"David Ortiz  DH","4","0","0","0","0","1","4",".313",".400",".579",".979","15","10","-0.109","1.03","0.000","-0.109","-1.3","","",""
"Josh Reddick  RF","4","0","1","0","0","0","4",".298",".344",".491",".835","16","10","-0.062","0.98","0.023","-0.085","-0.9","3","0",""
"Carl Crawford  LF","3","0","1","0","0","1","3",".251",".286",".399",".685","9","7","0.013","0.64","0.035","-0.022","0.1","1","0",""
"Darnell McDonald  LF","0","0","0","0","1","0","1",".203",".277",".355",".632","9","5","0.000","0.00","0.000","0.000","0.2","0","0",""
"Jason Varitek  C","3","0","0","0","0","1","3",".230",".303",".445",".748","12","8","-0.095","0.85","0.000","-0.095","-1.2","4","0","GDP"
"Ryan Lavarnway  C","1","0","0","0","0","1","1",".292",".393",".375",".768","5","3","0.000","0.01","0.000","0.000","-0.3","0","0",""
"Marco Scutaro  SS","4","1","2","1","0","0","4",".287",".348",".399",".747","14","9","0.078","0.30","0.087","-0.008","0.9","1","6","HR"
"Mike Aviles  3B","3","0","2","0","0","0","3",".250",".283",".391",".674","5","5","0.017","0.89","0.080","-0.064","-0.1","0","4",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jon Lester  P","","","","","","","","","","","","","","","","","","","0","0",""
"Michael Bowden  P","","","","","","","","","","","","","","","","","","","0","0",""
"Matt Albers  P","","","","","","","","","","","","","","","","","","","0","1",""
"Felix Doubront  P","","","","","","","","","","","","","","","","","","","0","0",""
"Franklin Morales  P","","","","","","","","","","","","","","","","","","","0","0",""
