"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jacoby Ellsbury  CF","5","0","0","0","0","2","5",".312",".369",".516",".885","14","11","-0.047","0.36","0.000","-0.047","-1.2","2","0",""
"Jed Lowrie  3B","3","1","1","0","1","0","4",".268",".313",".388",".701","14","6","0.001","0.34","0.021","-0.020","0.1","0","2",""
"Adrian Gonzalez  1B","4","2","2","3","0","1","4",".348",".410",".565",".975","10","7","0.224","0.40","0.230","-0.006","2.1","5","0","2·HR"
"Dustin Pedroia  2B","4","0","0","0","0","1","4",".304",".394",".465",".859","13","10","-0.021","0.20","0.000","-0.021","-0.7","2","1",""
"David Ortiz  DH","3","1","1","1","1","0","4",".301",".389",".563",".952","23","12","0.084","0.29","0.093","-0.008","0.9","","","HR"
"Carl Crawford  LF","4","1","1","0","0","2","4",".255",".290",".395",".685","20","13","-0.008","0.32","0.015","-0.023","-0.6","0","0","GDP"
"Jarrod Saltalamacchia  C","4","1","2","2","0","2","4",".251",".309",".473",".782","16","12","0.048","0.29","0.063","-0.015","1.7","11","1","HR"
"Josh Reddick  RF","4","0","1","0","0","0","4",".288",".335",".478",".813","14","10","0.011","0.15","0.018","-0.007","-0.7","6","0","2B"
"Marco Scutaro  SS","4","0","1","0","0","1","4",".271",".338",".375",".713","17","9","-0.029","0.28","0.002","-0.031","-0.6","1","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"Andrew Miller  P","","","","","","","","","","","","","","","","","","","0","1",""
"Alfredo Aceves  P","","","","","","","","","","","","","","","","","","","0","0",""
"Dan Wheeler  P","","","","","","","","","","","","","","","","","","","0","0",""
