"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Friday, Apr 1","boxscore","CHW","@","CLE","W","15","10","","1-0","1","up 0.5","Buehrle","Hernandez","","3:09","D","41,721","+"
"2","2","Saturday, Apr 2","boxscore","CHW","@","CLE","W","8","3","","2-0","1","up 0.5","Jackson","Carrasco","","2:46","D","9,853","++"
"3","3","Sunday, Apr 3","boxscore","CHW","@","CLE","L","1","7","","2-1","2","0.5","Masterson","Danks","","2:27","D","8,726","-"
"4","4","Tuesday, Apr 5","boxscore","CHW","@","KCR","L-wo","6","7","12","2-2","2","1.5","Jeffress","Pena","","3:32","N","12,641","--"
"5","5","Wednesday, Apr 6","boxscore","CHW","@","KCR","W","10","7","12","3-2","2","0.5","Sale","O'Sullivan","","3:41","D","13,360","+"
"6","6","Thursday, Apr 7","boxscore","CHW","","TBR","W","5","1","","4-2","1","Tied","Jackson","Price","","2:30","D","38,579","++"
"7","7","Friday, Apr 8","boxscore","CHW","","TBR","L","7","9","","4-3","2","1.0","Russell","Thornton","Farnsworth","3:13","N","20,199","-"
"8","8","Saturday, Apr 9","boxscore","CHW","","TBR","W","4","2","","5-3","2","1.0","Humber","Davis","Sale","2:43","D","26,378","+"
"9","9","Sunday, Apr 10","boxscore","CHW","","TBR","W","6","1","","6-3","2","1.0","Floyd","Niemann","","2:08","D","23,436","++"
"10","10","Monday, Apr 11","boxscore","CHW","","OAK","L","1","2","10","6-4","3","2.0","Ross","Crain","Fuentes","2:37","N","20,057","-"
"11","11","Tuesday, Apr 12","boxscore","CHW","","OAK","W-wo","6","5","10","7-4","2","1.0","Sale","Cramer","","3:32","N","18,020","+"
"12","12","Wednesday, Apr 13","boxscore","CHW","","OAK","L","4","7","10","7-5","3","1.0","Balfour","Thornton","Fuentes","3:23","D","16,523","-"
"13","13","Friday, Apr 15","boxscore","CHW","","LAA","L","3","4","","7-6","3","2.0","Weaver","Humber","Walden","2:53","N","20,103","--"
"14","14","Saturday, Apr 16","boxscore","CHW","","LAA","L","2","7","","7-7","3","3.0","Chatwood","Floyd","","2:35","N","21,250","---"
"15","15","Sunday, Apr 17","boxscore","CHW","","LAA","L","2","4","","7-8","3","4.0","Haren","Buehrle","Walden","2:40","D","23,458","----"
"16","16","Monday, Apr 18","boxscore","CHW","@","TBR","L","0","5","","7-9","4","5.0","Price","Jackson","","2:26","N","12,016","-----"
"17","17","Tuesday, Apr 19","boxscore","CHW","@","TBR","L","1","2","","7-10","4","5.0","Shields","Danks","","2:12","N","13,731","------"
"18","18","Wednesday, Apr 20","boxscore","CHW","@","TBR","L","1","4","","7-11","4","6.0","Davis","Humber","Farnsworth","2:30","N","13,214","-------"
"19","19","Thursday, Apr 21","boxscore","CHW","@","TBR","W","9","2","","8-11","4","5.0","Floyd","Niemann","","2:58","N","16,751","+"
"20","20","Friday, Apr 22","boxscore","CHW","@","DET","L","3","9","","8-12","4","5.5","Verlander","Buehrle","","2:30","N","23,537","-"
"21","21","Saturday, Apr 23","boxscore","CHW","@","DET","L","0","9","","8-13","5","5.5","Penny","Jackson","","3:01","D","35,227","--"
"22","22","Sunday, Apr 24","boxscore","CHW","@","DET","L","0","3","","8-14","5","5.5","Scherzer","Danks","Valverde","2:19","D","17,784","---"
"23","23","Monday, Apr 25","boxscore","CHW","@","NYY","W","2","0","","9-14","5","5.0","Humber","Burnett","Santos","2:41","N","40,506","+"
"24","24","Tuesday, Apr 26","boxscore","CHW","@","NYY","W","3","2","","10-14","5","5.0","Floyd","Soriano","Santos","2:54","N","40,785","++"
"25","25","Wednesday, Apr 27","boxscore","CHW","@","NYY","L","1","3","","10-15","5","6.0","Colon","Buehrle","Rivera","2:11","N","40,586","-"
"26","26","Thursday, Apr 28","boxscore","CHW","@","NYY","L","3","12","","10-16","4","7.0","Sabathia","Jackson","","3:06","N","40,081","--"
"27","27","Friday, Apr 29","boxscore","CHW","","BAL","L","4","10","","10-17","4","8.0","Arrieta","Danks","","2:58","N","21,816","---"
"28","28","Saturday, Apr 30","boxscore","CHW","","BAL","L","2","6","","10-18","4","9.0","Tillman","Humber","","2:46","N","26,104","----"
"29","29","Sunday, May 1","boxscore","CHW","","BAL","L","4","6","","10-19","4","10.0","Britton","Floyd","Gregg","3:03","D","22,029","-----"
"30","30","Monday, May 2","boxscore","CHW","","BAL","W","6","2","","11-19","4","9.5","Buehrle","Guthrie","Santos","2:43","N","18,007","+"
"31","31","Tuesday, May 3","boxscore","CHW","","MIN","L","0","1","","11-20","5","10.5","Liriano","Jackson","","2:09","N","20,901","-"
"32","32","Wednesday, May 4","boxscore","CHW","","MIN","L","2","3","","11-21","5","10.5","Blackburn","Danks","Capps","2:30","D","18,028","--"
"33","33","Friday, May 6","boxscore","CHW","@","SEA","L-wo","2","3","","11-22","5","11.0","Hernandez","Thornton","","2:27","N","31,912","---"
"34","34","Saturday, May 7","boxscore","CHW","@","SEA","W","6","0","","12-22","5","11.0","Floyd","Fister","","2:38","N","26,288","+"
"35","35","Sunday, May 8","boxscore","CHW","@","SEA","W","5","2","10","13-22","5","10.0","Santos","League","","3:09","D","26,074","++"
"36","36","Monday, May 9","boxscore","CHW","@","LAA","W","8","0","","14-22","4","9.5","Jackson","Santana","","2:29","N","38,561","+++"
"37","37","Tuesday, May 10","boxscore","CHW","@","LAA","L","2","6","","14-23","4","10.5","Pineiro","Danks","","2:32","N","40,128","-"
