"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Austin Jackson  CF","5","2","2","0","0","0","5",".253",".315",".368",".683","20","15","0.046","0.48","0.060","-0.014","0.3","5","0","SB"
"Brennan Boesch  LF","4","0","0","0","1","0","5",".285",".347",".463",".810","16","8","0.012","0.38","0.031","-0.019","-0.6","4","0",""
"Miguel Cabrera  1B","5","0","3","0","0","0","5",".321",".442",".560","1.002","16","8","0.016","0.45","0.022","-0.006","1.1","4","0","2B"
"Victor Martinez  C","4","1","2","1","1","0","5",".325",".376",".505",".880","16","9","-0.005","0.47","0.013","-0.018","0.5","6","1","IW"
"Magglio Ordonez  RF","5","1","2","0","0","1","5",".179",".240",".232",".472","17","11","-0.092","0.64","0.001","-0.093","-2.1","3","0","GDP"
"Alex Avila  3B","2","1","0","1","2","0","4",".301",".372",".541",".912","14","5","0.085","0.76","0.092","-0.006","1.2","0","1",""
"Jhonny Peralta  SS","4","1","2","4","0","0","4",".302",".358",".518",".876","18","12","-0.057","0.67","0.010","-0.067","2.0","0","0","HR"
"Ryan Raburn  2B","2","0","0","0","0","1","2",".203",".236",".335",".571","9","7","-0.023","0.44","0.000","-0.023","-0.4","1","1",""
"Adam Wilk  P","1","0","0","0","0","1","1",".000",".000",".000",".000","4","3","-0.003","0.10","0.000","-0.003","-0.2","0","0",""
"Andy Dirks  PH","1","0","1","0","0","0","1",".265",".324",".441",".766","1","1","0.004","0.09","0.004","0.000","0.4","","",""
"Daniel Schlereth  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Rick Porcello  P","1","0","0","0","0","0","1",".250",".250",".250",".500","3","2","-0.016","0.61","0.000","-0.016","-0.2","0","1",""
"Ramon Santiago  2B","3","0","0","0","0","0","3",".230",".278",".320",".598","6","6","-0.007","0.09","0.000","-0.007","-0.9","1","0",""
