"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Andy Dirks  CF-LF","5","1","3","1","0","0","5",".257",".308",".459",".766","15","8","0.071","1.02","0.107","-0.036","0.7","1","0","2B,CS"
"Brennan Boesch  LF","5","0","0","1","0","0","5",".302",".358",".492",".850","13","8","-0.059","1.08","0.029","-0.088","-1.0","2","0",""
"Austin Jackson  PR-CF","0","0","0","0","0","0","0",".245",".318",".361",".679","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Magglio Ordonez  RF","3","2","2","2","1","0","4",".215",".289",".301",".590","16","8","0.161","0.76","0.172","-0.011","1.7","2","0","HR"
"Casper Wells  RF","1","0","0","0","0","0","1",".257",".316",".457",".773","4","2","-0.008","0.29","0.000","-0.008","-0.2","1","0",""
"Miguel Cabrera  1B","4","1","1","0","0","1","4",".316",".435",".560",".996","11","7","0.061","0.71","0.099","-0.038","0.6","6","0","2B"
"Victor Martinez  DH","4","0","1","1","0","1","4",".318",".363",".460",".823","21","14","0.016","0.81","0.042","-0.025","0.0","","",""
"Jhonny Peralta  SS","4","1","2","1","0","0","4",".313",".364",".533",".896","16","10","0.049","0.99","0.093","-0.045","0.6","2","5","2B"
"Alex Avila  C","2","0","1","0","2","0","4",".289",".372",".510",".883","20","9","0.006","0.94","0.068","-0.061","0.2","9","1","GDP,IW"
"Ryan Raburn  2B","4","1","2","0","0","1","4",".210",".243",".353",".597","19","13","0.058","1.10","0.100","-0.042","0.5","3","2",""
"Brandon Inge  3B","3","0","0","0","0","1","4",".186",".253",".255",".508","11","8","-0.114","1.17","0.000","-0.114","-1.6","1","1","SH"
"","","","","","","","","","","","","","","","","","","","","",""
"Rick Porcello  P","","","","","","","","","","","","","","","","","","","0","0",""
"David Purcey  P","","","","","","","","","","","","","","","","","","","0","0",""
"Lester Oliveros  P","","","","","","","","","","","","","","","","","","","0","0",""
"Phil Coke  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jose Valverde  P","","","","","","","","","","","","","","","","","","","0","0",""
