"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Austin Jackson  CF","4","0","1","0","0","2","4",".237",".294",".364",".658","12","9","0.008","0.84","0.066","-0.058","-0.6","2","0","2B"
"Scott Sizemore  2B","4","0","0","0","0","1","4",".204",".328",".224",".552","12","7","-0.091","0.90","0.000","-0.091","-1.0","1","6",""
"Brennan Boesch  RF","4","0","0","0","0","0","4",".265",".331",".388",".719","11","7","-0.077","0.73","0.000","-0.077","-0.9","1","0",""
"Jose Valverde  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Miguel Cabrera  1B","4","0","2","0","0","0","4",".309",".438",".546",".984","14","7","-0.046","0.60","0.008","-0.054","0.3","11","0",""
"Casper Wells  PR","0","0","0","0","0","0","0",".239",".300",".370",".670","","","0.000","0.00","0.000","0.000","0.0","","",""
"Victor Martinez  C","4","0","1","0","0","0","4",".313",".371",".509",".880","17","11","-0.021","0.47","0.015","-0.037","-0.0","6","0",""
"Andy Dirks  LF","4","0","1","0","0","0","4",".300",".364",".300",".664","19","10","-0.007","0.40","0.018","-0.025","-0.8","2","0",""
"Don Kelly  3B","4","0","0","0","0","2","4",".239",".286",".326",".612","11","9","-0.072","0.65","0.000","-0.072","-1.5","0","3","GDP"
"Ramon Santiago  SS","3","1","2","1","0","0","3",".291",".333",".400",".733","10","6","0.167","0.76","0.184","-0.017","1.2","1","3","HR"
"Brad Penny  P","2","0","0","0","0","2","2",".000",".000",".000",".000","9","8","-0.043","0.90","0.000","-0.043","-0.3","0","1",""
"Brayan Villarreal  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Joaquin Benoit  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Ryan Raburn  PH-RF","1","0","0","0","0","0","1",".204",".245",".350",".595","7","4","0.011","0.23","0.011","0.000","0.6","0","0",""
