"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Austin Jackson  CF","5","0","0","0","0","3","5",".152",".222",".242",".465","22","17","-0.044","0.36","0.000","-0.044","-0.9","4","0",""
"Will Rhymes  2B","3","1","0","0","1","1","4",".208",".283",".208",".491","24","14","-0.028","0.29","0.000","-0.028","-0.1","2","3",""
"Don Kelly  RF-1B","4","0","1","0","0","1","4",".238",".273",".381",".654","16","11","-0.033","0.34","0.001","-0.033","-0.0","2","1",""
"Miguel Cabrera  1B","3","2","2","1","1","0","4",".333",".456",".635","1.091","11","6","0.068","0.38","0.068","0.000","2.0","7","0",""
"Casper Wells  RF","0","0","0","0","0","0","0",".235",".350",".471",".821","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Brennan Boesch  DH","4","0","3","0","0","0","4",".333",".418",".491",".909","16","9","0.087","0.73","0.114","-0.026","2.1","","","2B"
"Ryan Raburn  LF","4","0","1","0","0","2","4",".228",".274",".368",".643","16","13","-0.091","0.85","0.052","-0.143","-1.7","3","0",""
"Jhonny Peralta  SS","4","0","1","1","0","0","4",".268",".338",".411",".749","11","8","-0.006","0.82","0.053","-0.058","-0.8","1","3",""
"Alex Avila  C","2","0","0","1","1","2","3",".267",".340",".511",".851","15","9","0.033","0.82","0.058","-0.025","0.6","4","1",""
"Omir Santos  PH","1","0","1","0","0","0","1","1.000","1.000","1.000","2.000","2","1","0.000","0.00","0.000","0.000","0.4","","",""
"Brandon Inge  3B","3","0","0","0","0","1","3",".196",".246",".304",".549","6","5","-0.131","1.15","0.000","-0.131","-1.8","1","1","GDP"
"Ramon Santiago  3B","1","0","0","0","0","0","1",".192",".214",".231",".445","1","1","0.000","0.00","0.000","0.000","-0.7","0","0","GDP"
"","","","","","","","","","","","","","","","","","","","","",""
"Phil Coke  P","","","","","","","","","","","","","","","","","","","0","0",""
"Enrique Gonzalez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Al Alburquerque  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brad Thomas  P","","","","","","","","","","","","","","","","","","","0","0",""
