"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"J.B. Shuck  CF","4","0","0","0","0","0","4",".182",".308",".182",".490","9","6","-0.052","0.54","0.000","-0.052","-0.6","4","0",""
"Jose Altuve  2B","4","0","1","0","0","1","4",".333",".351",".398",".748","16","11","0.009","0.50","0.037","-0.028","-0.1","0","4",""
"J.D. Martinez  LF","4","0","1","0","0","0","4",".250",".300",".554",".854","15","9","-0.029","0.56","0.012","-0.041","-0.5","0","0",""
"Carlos Lee  1B","3","0","1","0","0","1","3",".263",".321",".417",".738","14","8","-0.062","0.67","0.004","-0.067","-0.3","7","1",""
"Aneury Rodriguez  P","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jason Michaels  PH","1","0","0","0","0","1","1",".200",".257",".292",".549","4","3","0.000","0.00","0.000","0.000","-0.1","","",""
"Brian Bogusevic  RF","3","0","1","0","0","0","3",".288",".373",".390",".763","13","7","0.014","0.65","0.039","-0.025","-0.2","0","0",""
"Jimmy Paredes  3B","2","0","0","0","1","1","3",".283",".327",".457",".783","20","14","-0.044","0.76","0.004","-0.049","-0.1","2","1",""
"Angel Sanchez  SS","3","0","1","0","0","0","3",".251",".303",".300",".603","9","7","-0.049","0.60","0.011","-0.060","-1.2","3","2","2·GDP"
"Carlos Corporan  C","2","0","0","0","0","1","3",".183",".231",".248",".478","11","7","-0.004","0.57","0.021","-0.025","-0.2","7","0","HBP"
"Jordan Lyles  P","2","0","0","0","0","2","2",".087",".160",".087",".247","9","6","-0.055","1.12","0.000","-0.055","-0.5","0","1",""
"David Carpenter  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Matt Downs  1B","1","0","0","0","0","0","1",".240",".327",".465",".792","9","6","-0.001","0.03","0.000","-0.001","-0.1","1","0",""
