"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Bourn  CF","3","0","0","0","1","0","4",".083",".214",".250",".464","16","9","-0.026","0.40","0.008","-0.034","-0.3","0","0",""
"Angel Sanchez  SS","4","0","0","0","0","0","4",".333",".308",".333",".641","9","6","-0.041","0.40","0.000","-0.041","-0.7","1","4",""
"Hunter Pence  RF","4","1","3","1","0","0","4",".417",".417",".750","1.167","19","11","0.078","0.39","0.081","-0.003","1.3","1","0","HR"
"Carlos Lee  LF","3","1","1","0","0","0","4",".364",".417",".818","1.235","17","10","-0.016","0.66","0.031","-0.047","-0.1","0","0","HBP"
"Jeff Fulchino  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Bill Hall  2B","4","0","1","0","0","1","4",".083",".083",".167",".250","16","11","0.014","0.68","0.059","-0.045","0.1","4","4","2B"
"Brett Wallace  1B","3","1","0","1","1","2","4",".091",".167",".091",".258","19","12","-0.048","0.71","0.007","-0.055","-0.1","8","2",""
"Chris Johnson  3B","4","0","2","0","0","1","4",".273",".333",".364",".697","11","9","-0.007","0.54","0.036","-0.043","0.6","0","1","2B"
"Humberto Quintero  C","4","0","0","0","0","1","4",".125",".125",".125",".250","12","8","-0.077","0.62","0.000","-0.077","-1.5","7","1","GDP"
"Bud Norris  P","1","0","0","0","0","0","1",".000",".000",".000",".000","3","2","-0.016","0.64","0.000","-0.016","-0.2","1","1",""
"Joe Inglett  PH","1","0","0","0","0","1","1",".000",".000",".000",".000","5","4","-0.010","0.39","0.000","-0.010","-0.1","","",""
"Fernando Abad  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Aneury Rodriguez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Enerio Del Rosario  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jason Bourgeois  PH","1","0","0","0","0","0","1",".500",".500",".500","1.000","2","1","-0.004","0.17","0.000","-0.004","-0.1","","",""
"Mark Melancon  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Jason Michaels  LF","1","0","0","0","0","0","1",".000",".000",".000",".000","5","3","-0.001","0.04","0.000","-0.001","-0.1","0","1",""
