"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jason Bourgeois  RF","5","1","3","0","0","0","5",".359",".379",".435",".814","21","14","0.027","1.16","0.112","-0.085","0.6","1","0","2B,CS"
"Michael Bourn  CF","5","2","3","2","0","0","5",".285",".355",".395",".750","17","9","0.311","1.37","0.359","-0.048","3.2","3","0","2·2B,2·SB"
"Jeff Keppinger  2B","5","0","3","2","0","0","5",".326",".354",".400",".754","23","14","-0.038","1.36","0.164","-0.202","-0.8","4","2","CS,GDP"
"Carlos Lee  DH","5","0","1","0","0","0","5",".265",".314",".394",".708","22","13","-0.136","1.15","0.010","-0.146","-0.9","","",""
"Jason Michaels  LF","5","0","0","0","0","1","5",".194",".239",".269",".508","18","11","-0.141","1.05","0.000","-0.141","-1.1","3","0",""
"Chris Johnson  3B","4","0","1","0","1","0","5",".242",".280",".399",".679","17","12","0.047","0.89","0.094","-0.046","0.2","0","0",""
"Brett Wallace  1B","5","0","0","0","0","2","5",".296",".385",".425",".810","19","13","-0.211","1.67","0.000","-0.211","-1.4","10","0",""
"Clint Barmes  SS","5","1","1","0","0","0","5",".219",".307",".331",".639","23","14","-0.148","1.30","0.028","-0.175","-0.8","1","8","GDP"
"Carlos Corporan  C","4","0","0","0","0","3","4",".133",".182",".133",".315","13","10","-0.121","1.17","0.000","-0.121","-0.9","8","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jordan Lyles  P","","","","","","","","","","","","","","","","","","","0","1",""
"Sergio Escalona  P","","","","","","","","","","","","","","","","","","","0","0",""
"Fernando Rodriguez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Fernando Abad  P","","","","","","","","","","","","","","","","","","","0","0",""
"Enerio Del Rosario  P","","","","","","","","","","","","","","","","","","","0","0",""
