"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Bourn  CF","4","2","1","0","1","0","5",".271",".343",".350",".694","25","13","0.011","0.61","0.058","-0.047","-0.1","4","0",""
"Angel Sanchez  2B","4","0","1","1","1","2","5",".265",".322",".333",".655","19","12","0.034","1.12","0.100","-0.066","1.0","3","1","2B"
"Hunter Pence  RF","5","1","2","0","0","2","5",".293",".340",".452",".792","19","13","0.004","1.19","0.090","-0.086","0.0","2","0",""
"Carlos Lee  DH","5","2","2","0","0","1","5",".244",".271",".387",".658","12","10","0.007","1.07","0.100","-0.093","0.3","","","2B,SB"
"Brett Wallace  1B","3","0","2","1","0","0","4",".310",".382",".448",".830","15","9","-0.063","1.54","0.039","-0.102","-0.4","7","1","SF,GDP"
"Chris Johnson  3B","3","0","2","3","0","0","4",".225",".270",".394",".664","11","10","0.111","1.34","0.149","-0.038","1.3","2","3","SF"
"Clint Barmes  SS","4","0","0","0","0","1","4",".191",".304",".309",".613","16","12","-0.078","0.75","0.000","-0.078","-1.1","0","3",""
"Brian Bogusevic  LF","4","0","1","0","0","3","4",".286",".400",".286",".686","18","14","-0.016","0.46","0.019","-0.035","-0.3","3","0",""
"Humberto Quintero  C","3","0","0","0","1","0","4",".250",".290",".330",".620","12","6","-0.025","0.57","0.014","-0.039","-0.4","2","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Brett Myers  P","","","","","","","","","","","","","","","","","","","1","0",""
"Sergio Escalona  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jose Valdez  P","","","","","","","","","","","","","","","","","","","0","0",""
